"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"160","Greg Monroe","PHI","29","10","9","100%","1.6","4.0","40.0","41.3","90.0%","1.5","3.6","41.7","10.0%","0.1","0.4","25.0","2018-2019"
"161","Boban Marjanovic","PHI","30","11","7","100%","2.2","3.6","60.0","60.0","92.5%","2.2","3.4","64.9","7.5%","0.0","0.3","0.0","2018-2019"
"162","Khem Birch","ORL","26","5","4","100%","2.0","3.6","55.6","55.6","100%","2.0","3.6","55.6","0.0%","0.0","0.0","-","2018-2019"
"163","Ed Davis","BKN","30","3","3","100%","2.3","3.3","70.0","70.0","100%","2.3","3.3","70.0","0.0%","0.0","0.0","-","2018-2019"
"164","Mason Plumlee","DEN","29","14","14","100%","1.7","3.3","52.2","52.2","97.8%","1.7","3.2","53.3","2.2%","0.0","0.1","0.0","2018-2019"
"165","Zaza Pachulia","DET","35","2","1","100%","1.0","3.0","33.3","33.3","100%","1.0","3.0","33.3","0.0%","0.0","0.0","-","2018-2019"
"166","Kenneth Faried","HOU","29","6","6","100%","1.5","2.2","69.2","73.1","92.3%","1.3","2.0","66.7","7.7%","0.2","0.2","100","2018-2019"
"167","Donatas Motiejunas","SAS","28","5","4","100%","1.2","2.0","60.0","60.0","90.0%","1.2","1.8","66.7","10.0%","0.0","0.2","0.0","2018-2019"
"168","Andrew Bogut","GSW","34","19","14","100%","1.3","1.9","64.9","64.9","100%","1.3","1.9","64.9","0.0%","0.0","0.0","-","2018-2019"
"169","Aron Baynes","BOS","32","9","8","100%","0.9","1.6","57.1","64.3","57.1%","0.7","0.9","75.0","42.9%","0.2","0.7","33.3","2018-2019"
"170","Nene","HOU","36","7","5","100%","1.4","1.4","100","100","100%","1.4","1.4","100","0.0%","0.0","0.0","-","2018-2019"
"171","Isaiah Hartenstein","HOU","21","2","1","100%","1.0","1.0","100","100","100%","1.0","1.0","100","0.0%","0.0","0.0","-","2018-2019"
"172","Amir Johnson","PHI","32","4","2","100%","1.0","1.0","100","100","100%","1.0","1.0","100","0.0%","0.0","0.0","-","2018-2019"
"173","Robert Williams III","BOS","21","3","1","100%","0.3","0.7","50.0","50.0","100%","0.3","0.7","50.0","0.0%","0.0","0.0","-","2018-2019"
"174","Ekpe Udoh","UTA","32","2","1","100%","0.0","0.5","0.0","0.0","100%","0.0","0.5","0.0","0.0%","0.0","0.0","-","2018-2019"
"175","Damian Jones","GSW","24","4","1","100%","0.3","0.3","100","100","100%","0.3","0.3","100","0.0%","0.0","0.0","-","2018-2019"
"176","Eric Moreland","TOR","27","8","2","100%","0.1","0.3","50.0","50.0","100%","0.1","0.3","50.0","0.0%","0.0","0.0","-","2018-2019"
"177","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2017-2018"
"178","Anthony Davis","NOP","25","9","9","100%","11.8","22.1","53.3","54.8","88.9%","11.1","19.7","56.5","11.1%","0.7","2.4","27.3","2017-2018"
"179","Joel Embiid","PHI","24","8","8","100%","7.5","15.8","47.6","50.8","77.0%","6.5","12.1","53.6","23.0%","1.0","3.6","27.6","2017-2018"
"180","Kevin Love","CLE","29","21","21","100%","5.2","12.2","42.6","49.6","59.0%","3.5","7.2","48.3","41.0%","1.7","5.0","34.3","2017-2018"
"181","Karl-Anthony Towns","MIN","22","5","5","100%","5.6","10.6","52.8","55.7","79.2%","5.0","8.4","59.5","20.8%","0.6","2.2","27.3","2017-2018"
"182","Al Horford","BOS","32","19","19","100%","5.8","10.4","56.1","59.8","78.3%","5.0","8.2","61.9","21.7%","0.8","2.3","34.9","2017-2018"
"183","Jonas Valanciunas","TOR","26","10","10","100%","5.8","10.0","58.0","59.0","95.0%","5.6","9.5","58.9","5.0%","0.2","0.5","40.0","2017-2018"
"184","Domantas Sabonis","IND","22","7","7","100%","5.1","8.7","59.0","59.8","88.5%","5.0","7.7","64.8","11.5%","0.1","1.0","14.3","2017-2018"
"185","Kelly Olynyk","MIA","27","5","5","100%","4.2","8.4","50.0","59.5","54.8%","2.6","4.6","56.5","45.2%","1.6","3.8","42.1","2017-2018"
"186","Jusuf Nurkic","POR","23","4","4","100%","4.8","8.3","57.6","57.6","100%","4.8","8.3","57.6","0.0%","0.0","0.0","-","2017-2018"
"187","Clint Capela","HOU","24","17","17","100%","5.6","7.9","70.4","70.4","100%","5.6","7.9","70.4","0.0%","0.0","0.0","-","2017-2018"
"188","Myles Turner","IND","22","7","7","100%","4.7","7.4","63.5","69.2","75.0%","3.9","5.6","69.2","25.0%","0.9","1.9","46.2","2017-2018"
"189","Serge Ibaka","TOR","28","10","10","100%","3.0","6.9","43.5","50.0","65.2%","2.1","4.5","46.7","34.8%","0.9","2.4","37.5","2017-2018"
"190","Zach Collins","POR","20","4","4","100%","2.8","6.8","40.7","46.3","48.1%","2.0","3.3","61.5","51.9%","0.8","3.5","21.4","2017-2018"
"191","Rudy Gobert","UTA","26","11","11","100%","5.0","6.5","76.4","76.4","100%","5.0","6.5","76.4","0.0%","0.0","0.0","-","2017-2018"
"192","Steven Adams","OKC","24","6","6","100%","4.5","6.5","69.2","69.2","100%","4.5","6.5","69.2","0.0%","0.0","0.0","-","2017-2018"
"193","John Henson","MIL","27","2","2","100%","4.5","6.5","69.2","69.2","100%","4.5","6.5","69.2","0.0%","0.0","0.0","-","2017-2018"
"194","Derrick Favors","UTA","26","11","11","100%","3.8","5.9","64.6","66.2","92.3%","3.6","5.5","66.7","7.7%","0.2","0.5","40.0","2017-2018"
"195","Marcin Gortat","WAS","34","6","6","100%","4.0","5.8","68.6","68.6","100%","4.0","5.8","68.6","0.0%","0.0","0.0","-","2017-2018"
"196","JaVale McGee","GSW","30","13","13","100%","3.0","4.5","67.2","67.2","98.3%","3.0","4.4","68.4","1.7%","0.0","0.1","0.0","2017-2018"
"197","Thon Maker","MIL","21","6","6","100%","1.8","4.3","42.3","53.8","26.9%","0.8","1.2","71.4","73.1%","1.0","3.2","31.6","2017-2018"
"198","Aron Baynes","BOS","31","19","18","100%","2.4","4.3","55.6","62.3","71.6%","1.8","3.0","58.6","28.4%","0.6","1.2","47.8","2017-2018"
"199","Tristan Thompson","CLE","27","19","16","100%","2.6","4.0","65.3","65.3","98.7%","2.6","3.9","66.2","1.3%","0.0","0.1","0.0","2017-2018"
"200","Hassan Whiteside","MIA","29","5","5","100%","1.8","3.8","47.4","47.4","100%","1.8","3.8","47.4","0.0%","0.0","0.0","-","2017-2018"
"201","Pau Gasol","SAS","37","5","5","100%","2.0","3.6","55.6","58.3","83.3%","1.8","3.0","60.0","16.7%","0.2","0.6","33.3","2017-2018"
"202","Jakob Poeltl","TOR","22","9","9","100%","1.9","3.4","54.8","54.8","96.8%","1.9","3.3","56.7","3.2%","0.0","0.1","0.0","2017-2018"
"203","Gorgui Dieng","MIN","28","5","5","100%","1.2","3.4","35.3","41.2","70.6%","0.8","2.4","33.3","29.4%","0.4","1.0","40.0","2017-2018"
"204","Davis Bertans","SAS","25","5","5","100%","0.6","3.4","17.6","26.5","11.8%","0.0","0.4","0.0","88.2%","0.6","3.0","20.0","2017-2018"
"205","Bam Adebayo","MIA","20","5","5","100%","1.4","2.8","50.0","50.0","100%","1.4","2.8","50.0","0.0%","0.0","0.0","-","2017-2018"
"206","Greg Monroe","BOS","28","11","10","100%","1.7","2.7","63.3","63.3","100%","1.7","2.7","63.3","0.0%","0.0","0.0","-","2017-2018"
"207","Amir Johnson","PHI","31","8","5","100%","1.4","2.5","55.0","55.0","100%","1.4","2.5","55.0","0.0%","0.0","0.0","-","2017-2018"
"208","Ian Mahinmi","WAS","31","6","5","100%","1.7","2.2","76.9","76.9","100%","1.7","2.2","76.9","0.0%","0.0","0.0","-","2017-2018"
"209","Meyers Leonard","POR","26","2","1","100%","2.0","2.0","100","100","100%","2.0","2.0","100","0.0%","0.0","0.0","-","2017-2018"
"210","Tony Bradley","UTA","20","1","1","100%","1.0","2.0","50.0","50.0","100%","1.0","2.0","50.0","0.0%","0.0","0.0","-","2017-2018"
"211","Caleb Swanigan","POR","21","1","1","100%","0.0","2.0","0.0","0.0","50.0%","0.0","1.0","0.0","50.0%","0.0","1.0","0.0","2017-2018"
"212","Ed Davis","POR","29","4","2","100%","1.3","1.8","71.4","71.4","100%","1.3","1.8","71.4","0.0%","0.0","0.0","-","2017-2018"
"213","Jordan Bell","GSW","23","17","13","100%","1.0","1.6","60.7","60.7","96.4%","1.0","1.6","63.0","3.6%","0.0","0.1","0.0","2017-2018"
"214","Nene","HOU","35","11","8","100%","1.1","1.6","66.7","66.7","100%","1.1","1.6","66.7","0.0%","0.0","0.0","-","2017-2018"
"215","Ante Zizic","CLE","21","8","6","100%","0.6","1.1","55.6","55.6","100%","0.6","1.1","55.6","0.0%","0.0","0.0","-","2017-2018"
"216","Joffrey Lauvergne","SAS","26","1","1","100%","1.0","1.0","100","100","100%","1.0","1.0","100","0.0%","0.0","0.0","-","2017-2018"
"217","Zaza Pachulia","GSW","34","7","4","100%","0.6","1.0","57.1","57.1","100%","0.6","1.0","57.1","0.0%","0.0","0.0","-","2017-2018"
"218","Emeka Okafor","NOP","35","1","1","100%","0.0","1.0","0.0","0.0","100%","0.0","1.0","0.0","0.0%","0.0","0.0","-","2017-2018"
"219","Tyler Zeller","MIL","28","7","4","100%","0.6","0.7","80.0","80.0","100%","0.6","0.7","80.0","0.0%","0.0","0.0","-","2017-2018"
"220","Damian Jones","GSW","23","4","2","100%","0.3","0.5","50.0","50.0","100%","0.3","0.5","50.0","0.0%","0.0","0.0","-","2017-2018"
"221","Tarik Black","HOU","26","7","2","100%","0.1","0.4","33.3","33.3","100%","0.1","0.4","33.3","0.0%","0.0","0.0","-","2017-2018"
"222","Zhou Qi","HOU","22","3","1","100%","0.3","0.3","100","100","100%","0.3","0.3","100","0.0%","0.0","0.0","-","2017-2018"
"223","Richaun Holmes","PHI","24","3","1","100%","0.0","0.3","0.0","0.0","100%","0.0","0.3","0.0","0.0%","0.0","0.0","-","2017-2018"
"224","Ekpe Udoh","UTA","31","6","1","100%","0.2","0.2","100","100","100%","0.2","0.2","100","0.0%","0.0","0.0","-","2017-2018"
"225","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2016-2017"
"226","Marc Gasol","MEM","32","6","6","100%","6.5","13.5","48.1","52.5","85.2%","5.3","11.5","46.4","14.8%","1.2","2.0","58.3","2016-2017"
"227","Al Horford","BOS","31","18","18","100%","6.2","10.1","61.3","68.8","71.3%","4.7","7.2","65.1","28.7%","1.5","2.9","51.9","2016-2017"
"228","Myles Turner","IND","21","4","4","100%","4.8","10.0","47.5","47.5","85.0%","4.8","8.5","55.9","15.0%","0.0","1.5","0.0","2016-2017"
"229","Robin Lopez","CHI","29","6","6","100%","5.7","8.5","66.7","66.7","100%","5.7","8.5","66.7","0.0%","0.0","0.0","-","2016-2017"
"230","DeAndre Jordan","LAC","28","7","7","100%","6.1","8.4","72.9","72.9","98.3%","6.1","8.3","74.1","1.7%","0.0","0.1","0.0","2016-2017"
"231","Greg Monroe","MIL","27","6","6","100%","4.5","8.2","55.1","55.1","100%","4.5","8.2","55.1","0.0%","0.0","0.0","-","2016-2017"
"232","Jonas Valanciunas","TOR","25","10","10","100%","4.4","7.7","57.1","57.1","98.7%","4.4","7.6","57.9","1.3%","0.0","0.1","0.0","2016-2017"
"233","Marcin Gortat","WAS","33","13","13","100%","3.6","6.9","52.2","52.2","100%","3.6","6.9","52.2","0.0%","0.0","0.0","-","2016-2017"
"234","Pau Gasol","SAS","36","16","16","100%","3.1","6.7","46.7","49.5","83.2%","2.8","5.6","49.4","16.8%","0.4","1.1","33.3","2016-2017"
"235","Kelly Olynyk","BOS","26","18","18","100%","3.6","6.6","53.8","60.1","60.5%","2.7","4.0","68.1","39.5%","0.8","2.6","31.9","2016-2017"
"236","Rudy Gobert","UTA","25","9","8","100%","4.4","6.6","67.8","67.8","100%","4.4","6.6","67.8","0.0%","0.0","0.0","-","2016-2017"
"237","Clint Capela","HOU","23","11","11","100%","4.2","6.1","68.7","68.7","98.5%","4.2","6.0","69.7","1.5%","0.0","0.1","0.0","2016-2017"
"238","Kevin Seraphin","IND","27","4","4","100%","3.0","5.8","52.2","52.2","100%","3.0","5.8","52.2","0.0%","0.0","0.0","-","2016-2017"
"239","Derrick Favors","UTA","25","11","11","100%","3.3","5.2","63.2","63.2","100%","3.3","5.2","63.2","0.0%","0.0","0.0","-","2016-2017"
"240","Nene","HOU","34","9","9","100%","4.0","5.0","80.0","80.0","97.8%","4.0","4.9","81.8","2.2%","0.0","0.1","0.0","2016-2017"
"241","Steven Adams","OKC","23","5","5","100%","3.6","5.0","72.0","72.0","100%","3.6","5.0","72.0","0.0%","0.0","0.0","-","2016-2017"
"242","Dwight Howard","ATL","31","6","6","100%","3.0","5.0","60.0","60.0","100%","3.0","5.0","60.0","0.0%","0.0","0.0","-","2016-2017"
"243","Marreese Speights","LAC","29","7","7","100%","2.3","5.0","45.7","55.7","42.9%","1.3","2.1","60.0","57.1%","1.0","2.9","35.0","2016-2017"
"244","Enes Freedom","OKC","25","5","5","100%","2.0","4.8","41.7","41.7","100%","2.0","4.8","41.7","0.0%","0.0","0.0","-","2016-2017"
"245","Thon Maker","MIL","20","6","6","100%","2.0","4.7","42.9","46.4","64.3%","1.7","3.0","55.6","35.7%","0.3","1.7","20.0","2016-2017"
"246","Tristan Thompson","CLE","26","18","17","100%","3.0","4.6","65.9","65.9","100%","3.0","4.6","65.9","0.0%","0.0","0.0","-","2016-2017"
"247","Boris Diaw","UTA","35","11","11","100%","2.2","4.1","53.3","60.0","68.9%","1.6","2.8","58.1","31.1%","0.6","1.3","42.9","2016-2017"
"248","Zaza Pachulia","GSW","33","15","15","100%","2.1","3.8","56.1","56.1","98.2%","2.1","3.7","57.1","1.8%","0.0","0.1","0.0","2016-2017"
"249","Joffrey Lauvergne","CHI","25","3","3","100%","1.3","3.3","40.0","40.0","80.0%","1.3","2.7","50.0","20.0%","0.0","0.7","0.0","2016-2017"
"250","JaVale McGee","GSW","29","16","14","100%","2.6","3.1","82.0","82.0","100%","2.6","3.1","82.0","0.0%","0.0","0.0","-","2016-2017"
"251","Jusuf Nurkic","POR","22","1","1","100%","1.0","3.0","33.3","33.3","66.7%","1.0","2.0","50.0","33.3%","0.0","1.0","0.0","2016-2017"
"252","Jason Smith","WAS","31","13","12","100%","1.5","2.8","52.8","56.9","72.2%","1.2","2.0","61.5","27.8%","0.2","0.8","30.0","2016-2017"
"253","Mike Muscala","ATL","25","6","5","100%","0.8","2.7","31.3","31.3","75.0%","0.8","2.0","41.7","25.0%","0.0","0.7","0.0","2016-2017"
"254","David Lee","SAS","34","15","13","100%","1.7","2.5","65.8","65.8","97.4%","1.7","2.5","67.6","2.6%","0.0","0.1","0.0","2016-2017"
"255","Cristiano Felicio","CHI","24","6","5","100%","1.5","2.5","60.0","60.0","100%","1.5","2.5","60.0","0.0%","0.0","0.0","-","2016-2017"
"256","Tyler Zeller","BOS","27","11","9","100%","1.2","2.1","56.5","56.5","100%","1.2","2.1","56.5","0.0%","0.0","0.0","-","2016-2017"
"257","Dewayne Dedmon","SAS","27","12","8","100%","1.2","1.9","60.9","60.9","100%","1.2","1.9","60.9","0.0%","0.0","0.0","-","2016-2017"
"258","Meyers Leonard","POR","25","3","2","100%","0.3","1.7","20.0","20.0","20.0%","0.3","0.3","100","80.0%","0.0","1.3","0.0","2016-2017"
"259","Ian Mahinmi","WAS","30","5","4","100%","1.0","1.6","62.5","62.5","100%","1.0","1.6","62.5","0.0%","0.0","0.0","-","2016-2017"
"260","Jakob Poeltl","TOR","21","6","4","100%","0.8","1.5","55.6","55.6","100%","0.8","1.5","55.6","0.0%","0.0","0.0","-","2016-2017"
"261","Damian Jones","GSW","22","4","3","100%","0.8","1.5","50.0","50.0","100%","0.8","1.5","50.0","0.0%","0.0","0.0","-","2016-2017"
"262","John Henson","MIL","26","2","2","100%","0.5","1.5","33.3","33.3","100%","0.5","1.5","33.3","0.0%","0.0","0.0","-","2016-2017"
"263","Joel Anthony","SAS","34","3","1","100%","1.0","1.3","75.0","75.0","100%","1.0","1.3","75.0","0.0%","0.0","0.0","-","2016-2017"
"264","Spencer Hawes","MIL","29","3","2","100%","0.7","1.3","50.0","62.5","50.0%","0.3","0.7","50.0","50.0%","0.3","0.7","50.0","2016-2017"
"265","Jeff Withey","UTA","27","3","2","100%","0.7","1.3","50.0","50.0","100%","0.7","1.3","50.0","0.0%","0.0","0.0","-","2016-2017"
"266","Lucas Nogueira","TOR","24","3","2","100%","0.3","0.7","50.0","50.0","100%","0.3","0.7","50.0","0.0%","0.0","0.0","-","2016-2017"
"267","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2015-2016"
"268","Andre Drummond","DET","22","4","4","100%","7.0","13.3","52.8","52.8","98.1%","7.0","13.0","53.8","1.9%","0.0","0.3","0.0","2015-2016"
"269","Al Horford","ATL","30","10","10","100%","5.4","11.3","47.8","52.7","75.2%","4.3","8.5","50.6","24.8%","1.1","2.8","39.3","2015-2016"
"270","Al Jefferson","CHA","31","7","7","100%","6.0","10.9","55.3","55.3","100%","6.0","10.9","55.3","0.0%","0.0","0.0","-","2015-2016"
"271","Myles Turner","IND","20","7","7","100%","4.7","9.9","47.8","47.8","97.1%","4.7","9.6","49.3","2.9%","0.0","0.3","0.0","2015-2016"
"272","Jonas Valanciunas","TOR","24","12","12","100%","5.7","9.4","60.2","60.2","100%","5.7","9.4","60.2","0.0%","0.0","0.0","-","2015-2016"
"273","Dwight Howard","HOU","30","5","5","100%","5.2","8.8","59.1","59.1","97.7%","5.2","8.6","60.5","2.3%","0.0","0.2","0.0","2015-2016"
"274","Donatas Motiejunas","HOU","25","5","5","100%","3.2","7.0","45.7","51.4","74.3%","2.4","5.2","46.2","25.7%","0.8","1.8","44.4","2015-2016"
"275","Frank Kaminsky","CHA","23","7","6","100%","2.0","6.4","31.1","36.7","62.2%","1.3","4.0","32.1","37.8%","0.7","2.4","29.4","2015-2016"
"276","Hassan Whiteside","MIA","27","10","10","100%","4.7","6.4","73.4","73.4","100%","4.7","6.4","73.4","0.0%","0.0","0.0","-","2015-2016"
"277","Jared Sullinger","BOS","24","6","6","100%","2.2","6.3","34.2","36.8","89.5%","1.8","5.7","32.4","10.5%","0.3","0.7","50.0","2015-2016"
"278","DeAndre Jordan","LAC","27","6","6","100%","4.0","6.2","64.9","64.9","100%","4.0","6.2","64.9","0.0%","0.0","0.0","-","2015-2016"
"279","Enes Freedom","OKC","24","18","18","100%","3.6","6.0","60.2","61.1","87.0%","3.5","5.2","67.0","13.0%","0.1","0.8","14.3","2015-2016"
"280","Ian Mahinmi","IND","29","7","7","100%","3.0","5.9","51.2","51.2","100%","3.0","5.9","51.2","0.0%","0.0","0.0","-","2015-2016"
"281","Steven Adams","OKC","22","18","17","100%","3.8","5.3","70.8","70.8","99.0%","3.8","5.3","71.6","1.0%","0.0","0.1","0.0","2015-2016"
"282","Mason Plumlee","POR","26","11","11","100%","2.5","5.3","48.3","48.3","100%","2.5","5.3","48.3","0.0%","0.0","0.0","-","2015-2016"
"283","Cody Zeller","CHA","23","7","7","100%","3.0","5.1","58.3","58.3","100%","3.0","5.1","58.3","0.0%","0.0","0.0","-","2015-2016"
"284","Tyler Zeller","BOS","26","3","3","100%","2.3","5.0","46.7","46.7","100%","2.3","5.0","46.7","0.0%","0.0","0.0","-","2015-2016"
"285","Marreese Speights","GSW","28","24","23","100%","1.9","4.8","40.4","48.2","62.3%","1.2","3.0","39.4","37.7%","0.8","1.8","41.9","2015-2016"
"286","Boris Diaw","SAS","34","9","9","100%","2.3","4.7","50.0","52.4","88.1%","2.1","4.1","51.4","11.9%","0.2","0.6","40.0","2015-2016"
"287","Dwight Powell","DAL","24","4","4","100%","2.3","4.5","50.0","50.0","94.4%","2.3","4.3","52.9","5.6%","0.0","0.3","0.0","2015-2016"
"288","Tim Duncan","SAS","40","10","8","100%","2.2","4.4","50.0","50.0","100%","2.2","4.4","50.0","0.0%","0.0","0.0","-","2015-2016"
"289","Zaza Pachulia","DAL","32","5","5","100%","1.8","4.4","40.9","40.9","100%","1.8","4.4","40.9","0.0%","0.0","0.0","-","2015-2016"
"290","Chris Kaman","POR","34","4","4","100%","1.8","4.3","41.2","41.2","100%","1.8","4.3","41.2","0.0%","0.0","0.0","-","2015-2016"
"291","David Lee","DAL","33","2","2","100%","3.0","4.0","75.0","75.0","100%","3.0","4.0","75.0","0.0%","0.0","0.0","-","2015-2016"
"292","Tristan Thompson","CLE","25","21","19","100%","2.3","3.7","62.8","62.8","100%","2.3","3.7","62.8","0.0%","0.0","0.0","-","2015-2016"
"293","Andrew Bogut","GSW","31","22","19","100%","2.2","3.2","67.6","67.6","97.2%","2.2","3.1","69.6","2.8%","0.0","0.1","0.0","2015-2016"
"294","Bismack Biyombo","TOR","23","20","17","100%","2.0","3.1","64.5","64.5","100%","2.0","3.1","64.5","0.0%","0.0","0.0","-","2015-2016"
"295","Ed Davis","POR","27","11","11","100%","1.9","3.1","61.8","61.8","94.1%","1.9","2.9","65.6","5.9%","0.0","0.2","0.0","2015-2016"
"296","Chris Andersen","MEM","37","4","4","100%","1.3","3.0","41.7","41.7","100%","1.3","3.0","41.7","0.0%","0.0","0.0","-","2015-2016"
"297","Festus Ezeli","GSW","26","23","20","100%","1.6","2.6","62.7","62.7","100%","1.6","2.6","62.7","0.0%","0.0","0.0","-","2015-2016"
"298","Cole Aldrich","LAC","27","6","4","100%","1.7","2.5","66.7","66.7","100%","1.7","2.5","66.7","0.0%","0.0","0.0","-","2015-2016"
"299","Spencer Hawes","CHA","28","5","5","100%","1.2","2.4","50.0","54.2","66.7%","1.0","1.6","62.5","33.3%","0.2","0.8","25.0","2015-2016"
"300","Salah Mejri","DAL","30","4","3","100%","1.8","2.3","77.8","77.8","100%","1.8","2.3","77.8","0.0%","0.0","0.0","-","2015-2016"
"301","Amar'e Stoudemire","MIA","33","9","8","100%","1.2","2.1","57.9","57.9","100%","1.2","2.1","57.9","0.0%","0.0","0.0","-","2015-2016"
"302","Mike Muscala","ATL","24","9","6","100%","1.1","2.1","52.6","57.9","68.4%","0.9","1.4","61.5","31.6%","0.2","0.7","33.3","2015-2016"
"303","Aron Baynes","DET","29","4","4","100%","1.0","1.8","57.1","57.1","100%","1.0","1.8","57.1","0.0%","0.0","0.0","-","2015-2016"
"304","Kelly Olynyk","BOS","25","4","4","100%","0.3","1.8","14.3","14.3","57.1%","0.3","1.0","25.0","42.9%","0.0","0.8","0.0","2015-2016"
"305","Boban Marjanovic","SAS","27","7","5","100%","1.1","1.7","66.7","66.7","100%","1.1","1.7","66.7","0.0%","0.0","0.0","-","2015-2016"
"306","Clint Capela","HOU","22","5","5","100%","0.6","1.6","37.5","37.5","100%","0.6","1.6","37.5","0.0%","0.0","0.0","-","2015-2016"
"307","Lavoy Allen","IND","27","6","3","100%","0.5","1.3","37.5","37.5","100%","0.5","1.3","37.5","0.0%","0.0","0.0","-","2015-2016"
"308","Timofey Mozgov","CLE","29","13","9","100%","0.5","1.1","40.0","40.0","100%","0.5","1.1","40.0","0.0%","0.0","0.0","-","2015-2016"
"309","JaVale McGee","DAL","28","2","2","100%","0.5","1.0","50.0","50.0","100%","0.5","1.0","50.0","0.0%","0.0","0.0","-","2015-2016"
"310","Jason Thompson","TOR","29","10","6","100%","0.4","0.9","44.4","44.4","88.9%","0.4","0.8","50.0","11.1%","0.0","0.1","0.0","2015-2016"
"311","Lucas Nogueira","TOR","23","5","4","100%","0.6","0.8","75.0","75.0","100%","0.6","0.8","75.0","0.0%","0.0","0.0","-","2015-2016"
"312","Jordan Hill","IND","28","5","3","100%","0.0","0.6","0.0","0.0","100%","0.0","0.6","0.0","0.0%","0.0","0.0","-","2015-2016"
"313","Jeff Ayres","LAC","29","2","1","100%","0.5","0.5","100","100","100%","0.5","0.5","100","0.0%","0.0","0.0","-","2015-2016"
"314","Nazr Mohammed","OKC","38","5","2","100%","0.2","0.4","50.0","50.0","100%","0.2","0.4","50.0","0.0%","0.0","0.0","-","2015-2016"
"315","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2014-2015"
"316","Anthony Davis","NOP","22","4","4","100%","11.8","20.8","56.6","56.6","97.6%","11.8","20.3","58.0","2.4%","0.0","0.5","0.0","2014-2015"
"317","Marc Gasol","MEM","30","11","11","100%","6.5","15.4","41.8","41.8","98.8%","6.5","15.3","42.3","1.2%","0.0","0.2","0.0","2014-2015"
"318","Brook Lopez","BKN","27","6","6","100%","7.2","13.5","53.1","53.1","100%","7.2","13.5","53.1","0.0%","0.0","0.0","-","2014-2015"
"319","Al Horford","ATL","29","16","16","100%","6.7","12.8","52.5","52.9","95.6%","6.6","12.2","53.8","4.4%","0.1","0.6","22.2","2014-2015"
"320","Pau Gasol","CHI","34","10","10","100%","5.6","11.0","50.9","50.9","96.4%","5.6","10.6","52.8","3.6%","0.0","0.4","0.0","2014-2015"
"321","Boris Diaw","SAS","33","7","7","100%","4.9","10.0","48.6","51.4","74.3%","4.3","7.4","57.7","25.7%","0.6","2.6","22.2","2014-2015"
"322","Dwight Howard","HOU","29","17","17","100%","6.2","9.8","63.3","63.3","100%","6.2","9.8","63.3","0.0%","0.0","0.0","-","2014-2015"
"323","Jonas Valanciunas","TOR","23","4","4","100%","4.8","8.8","54.3","54.3","100%","4.8","8.8","54.3","0.0%","0.0","0.0","-","2014-2015"
"324","Marcin Gortat","WAS","31","10","10","100%","5.4","8.2","65.9","65.9","100%","5.4","8.2","65.9","0.0%","0.0","0.0","-","2014-2015"
"325","Miles Plumlee","MIL","26","1","1","100%","1.0","8.0","12.5","12.5","100%","1.0","8.0","12.5","0.0%","0.0","0.0","-","2014-2015"
"326","Nene","WAS","32","10","10","100%","3.4","6.9","49.3","49.3","100%","3.4","6.9","49.3","0.0%","0.0","0.0","-","2014-2015"
"327","Tyler Zeller","BOS","25","4","4","100%","3.8","6.5","57.7","57.7","100%","3.8","6.5","57.7","0.0%","0.0","0.0","-","2014-2015"
"328","Timofey Mozgov","CLE","28","20","20","100%","3.7","6.5","56.9","56.9","100%","3.7","6.5","56.9","0.0%","0.0","0.0","-","2014-2015"
"329","John Henson","MIL","24","6","6","100%","4.0","6.2","64.9","64.9","97.3%","4.0","6.0","66.7","2.7%","0.0","0.2","0.0","2014-2015"
"330","Tristan Thompson","CLE","24","20","19","100%","3.6","6.0","59.5","59.5","100%","3.6","6.0","59.5","0.0%","0.0","0.0","-","2014-2015"
"331","Amar'e Stoudemire","DAL","32","5","5","100%","3.0","6.0","50.0","50.0","100%","3.0","6.0","50.0","0.0%","0.0","0.0","-","2014-2015"
"332","Joakim Noah","CHI","30","12","12","100%","2.6","5.6","46.3","46.3","100%","2.6","5.6","46.3","0.0%","0.0","0.0","-","2014-2015"
"333","DeAndre Jordan","LAC","26","14","14","100%","4.1","5.6","74.4","74.4","100%","4.1","5.6","74.4","0.0%","0.0","0.0","-","2014-2015"
"334","Zaza Pachulia","MIL","31","6","6","100%","2.7","5.5","48.5","48.5","100%","2.7","5.5","48.5","0.0%","0.0","0.0","-","2014-2015"
