"","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","Season","Position"
"1","Giannis Antetokounmpo","MIL","27","12","12","100%","11.7","23.8","49.1","50.7","85.6%","10.9","20.3","53.7","14.4%","0.8","3.4","22.0","2021","Forward"
"2","Luka Doncic","DAL","23","15","15","100%","10.7","23.5","45.5","52.7","58.0%","7.3","13.6","53.4","42.0%","3.4","9.9","34.5","2021","Forward"
"3","Donovan Mitchell","UTA","25","6","6","100%","8.8","22.2","39.8","43.6","63.9%","7.2","14.2","50.6","36.1%","1.7","8.0","20.8","2021","Forward"
"4","Nikola Jokic","DEN","27","5","5","100%","12.2","21.2","57.5","59.9","83.0%","11.2","17.6","63.6","17.0%","1.0","3.6","27.8","2021","Forward"
"5","CJ McCollum","NOP","30","6","6","100%","8.2","20.8","39.2","46.0","59.2%","5.3","12.3","43.2","40.8%","2.8","8.5","33.3","2021","Forward"
"6","Kevin Durant","BKN","33","4","4","100%","8.0","20.8","38.6","42.8","74.7%","6.3","15.5","40.3","25.3%","1.8","5.3","33.3","2021","Forward"
"7","Ja Morant","MEM","22","9","9","100%","9.0","20.4","44.0","48.6","72.8%","7.1","14.9","47.8","27.2%","1.9","5.6","34.0","2021","Forward"
"8","Stephen Curry","GSW","34","22","22","100%","9.2","20.0","45.9","56.3","48.0%","5.0","9.6","52.6","52.0%","4.1","10.4","39.7","2021","Forward"
"9","Brandon Ingram","NOP","24","6","6","100%","9.3","19.7","47.5","52.1","77.1%","7.5","15.2","49.5","22.9%","1.8","4.5","40.7","2021","Forward"
"10","Jayson Tatum","BOS","24","24","24","100%","8.4","19.7","42.6","50.7","58.5%","5.2","11.5","44.9","41.5%","3.2","8.2","39.3","2021","Forward"
"11","Jrue Holiday","MIL","32","12","12","100%","7.4","19.6","37.9","43.2","66.4%","5.3","13.0","41.0","33.6%","2.1","6.6","31.6","2021","Forward"
"12","Jimmy Butler","MIA","32","17","17","100%","9.8","19.3","50.6","54.1","79.3%","8.4","15.3","55.0","20.7%","1.4","4.0","33.8","2021","Forward"
"13","DeMar DeRozan","CHI","32","5","5","100%","7.8","19.0","41.1","41.1","90.5%","7.8","17.2","45.3","9.5%","0.0","1.8","0.0","2021","Forward"
"14","Anthony Edwards","MIN","20","6","6","100%","8.3","18.3","45.5","55.9","48.2%","4.5","8.8","50.9","51.8%","3.8","9.5","40.4","2021","Forward"
"15","Nikola Vucevic","CHI","31","5","5","100%","8.0","18.2","44.0","51.1","53.8%","5.4","9.8","55.1","46.2%","2.6","8.4","31.0","2021","Forward"
"16","Pascal Siakam","TOR","28","6","6","100%","8.5","17.8","47.7","49.5","84.1%","7.8","15.0","52.2","15.9%","0.7","2.8","23.5","2021","Forward"
"17","Devin Booker","PHX","25","10","10","100%","7.9","17.5","45.1","53.1","62.9%","5.1","11.0","46.4","37.1%","2.8","6.5","43.1","2021","Forward"
"18","Jaylen Brown","BOS","25","24","24","100%","8.2","17.5","47.0","54.2","61.6%","5.7","10.8","53.1","38.4%","2.5","6.7","37.3","2021","Forward"
"19","Jalen Brunson","DAL","25","18","18","100%","8.1","17.3","46.6","50.8","75.9%","6.6","13.1","50.4","24.1%","1.4","4.2","34.7","2021","Forward"
"20","Klay Thompson","GSW","32","22","22","100%","7.1","16.6","42.9","53.4","45.4%","3.6","7.5","48.2","54.6%","3.5","9.1","38.5","2021","Forward"
"21","Joel Embiid","PHI","28","10","10","100%","7.8","16.1","48.4","50.6","79.5%","7.1","12.8","55.5","20.5%","0.7","3.3","21.2","2021","Forward"
"22","Kyrie Irving","BKN","30","4","4","100%","7.0","15.8","44.4","50.8","66.7%","5.0","10.5","47.6","33.3%","2.0","5.3","38.1","2021","Forward"
"23","Zach LaVine","CHI","27","4","4","100%","6.8","15.8","42.9","50.0","61.9%","4.5","9.8","46.2","38.1%","2.3","6.0","37.5","2021","Forward"
"24","Dillon Brooks","MEM","26","11","11","100%","5.5","15.6","34.9","42.2","58.1%","3.2","9.1","35.0","41.9%","2.3","6.5","34.7","2021","Forward"
"25","Tyrese Maxey","PHI","21","12","12","100%","7.3","15.2","48.4","55.5","62.1%","5.2","9.4","54.9","37.9%","2.2","5.8","37.7","2021","Forward"
"26","De'Andre Hunter","ATL","24","5","5","100%","7.8","14.0","55.7","64.3","62.9%","5.4","8.8","61.4","37.1%","2.4","5.2","46.2","2021","Forward"
"27","Andrew Wiggins","GSW","27","22","22","100%","6.5","13.9","46.9","52.6","65.6%","4.9","9.1","54.0","34.4%","1.6","4.8","33.3","2021","Forward"
"28","Trae Young","ATL","23","5","5","100%","4.4","13.8","31.9","37.0","44.9%","3.0","6.2","48.4","55.1%","1.4","7.6","18.4","2021","Forward"
"29","OG Anunoby","TOR","24","6","6","100%","6.5","13.7","47.6","56.1","50.0%","4.2","6.8","61.0","50.0%","2.3","6.8","34.1","2021","Forward"
"30","Gary Trent Jr.","TOR","23","6","6","100%","5.2","13.7","37.8","45.7","52.4%","3.0","7.2","41.9","47.6%","2.2","6.5","33.3","2021","Forward"
"31","Tobias Harris","PHI","29","12","12","100%","6.8","13.5","50.0","56.8","64.8%","4.9","8.8","56.2","35.2%","1.8","4.8","38.6","2021","Forward"
"32","Bojan Bogdanovic","UTA","33","6","6","100%","6.5","13.5","48.1","54.9","59.3%","4.7","8.0","58.3","40.7%","1.8","5.5","33.3","2021","Forward"
"33","Fred VanVleet","TOR","28","4","4","100%","4.8","13.5","35.2","46.3","33.3%","1.8","4.5","38.9","66.7%","3.0","9.0","33.3","2021","Forward"
"34","Karl-Anthony Towns","MIN","26","6","6","100%","6.5","13.3","48.8","55.0","72.5%","4.8","9.7","50.0","27.5%","1.7","3.7","45.5","2021","Forward"
"35","Desmond Bane","MEM","24","12","12","100%","6.3","13.3","47.5","60.9","44.4%","2.8","5.9","46.5","55.6%","3.6","7.4","48.3","2021","Forward"
"36","Marcus Smart","BOS","28","21","21","100%","5.4","13.3","40.5","49.1","50.9%","3.1","6.8","45.8","49.1%","2.3","6.5","35.0","2021","Forward"
"37","Will Barton","DEN","31","5","5","100%","5.4","13.2","40.9","49.2","57.6%","3.2","7.6","42.1","42.4%","2.2","5.6","39.3","2021","Forward"
"38","James Harden","PHI","32","12","12","100%","5.3","13.2","40.5","49.4","51.9%","3.0","6.8","43.9","48.1%","2.3","6.3","36.8","2021","Forward"
"39","Jaren Jackson Jr.","MEM","22","12","12","100%","4.9","13.0","37.8","46.5","53.8%","2.7","7.0","38.1","46.2%","2.3","6.0","37.5","2021","Forward"
"40","Deandre Ayton","PHX","23","13","13","100%","8.1","12.6","64.0","64.6","97.6%","7.9","12.3","64.4","2.4%","0.1","0.3","50.0","2021","Forward"
"41","Bogdan Bogdanovic","ATL","29","4","4","100%","5.0","12.3","40.8","50.0","46.9%","2.8","5.8","47.8","53.1%","2.3","6.5","34.6","2021","Forward"
"42","Jordan Clarkson","UTA","30","6","6","100%","6.7","12.2","54.8","61.0","67.1%","5.2","8.2","63.3","32.9%","1.5","4.0","37.5","2021","Forward"
"43","Tyler Herro","MIA","22","15","15","100%","4.9","12.1","40.9","45.3","61.3%","3.9","7.4","52.3","38.7%","1.1","4.7","22.9","2021","Forward"
"44","Khris Middleton","MIL","30","2","2","100%","5.0","12.0","41.7","54.2","41.7%","2.0","5.0","40.0","58.3%","3.0","7.0","42.9","2021","Forward"
"45","D'Angelo Russell","MIN","26","6","6","100%","4.0","12.0","33.3","41.7","56.9%","2.0","6.8","29.3","43.1%","2.0","5.2","38.7","2021","Forward"
"46","Chris Paul","PHX","37","13","13","100%","6.7","11.9","56.1","62.3","68.4%","5.2","8.2","64.2","31.6%","1.5","3.8","38.8","2021","Forward"
"47","Jordan Poole","GSW","23","22","22","100%","5.9","11.6","50.8","60.6","49.6%","3.6","5.7","62.7","50.4%","2.3","5.8","39.1","2021","Forward"
"48","Jonas Valanciunas","NOP","30","6","6","100%","5.5","11.3","48.5","49.3","91.2%","5.3","10.3","51.6","8.8%","0.2","1.0","16.7","2021","Forward"
"49","Aaron Gordon","DEN","26","5","5","100%","4.6","10.8","42.6","45.4","72.2%","4.0","7.8","51.3","27.8%","0.6","3.0","20.0","2021","Forward"
"50","Spencer Dinwiddie","DAL","29","18","18","100%","4.4","10.7","41.7","52.1","50.0%","2.2","5.3","41.7","50.0%","2.2","5.3","41.7","2021","Forward"
"51","Mikal Bridges","PHX","25","13","13","100%","5.1","10.6","47.8","52.5","76.1%","4.1","8.1","50.5","23.9%","1.0","2.5","39.4","2021","Forward"
"52","Scottie Barnes","TOR","20","4","4","100%","4.5","10.5","42.9","45.2","71.4%","4.0","7.5","53.3","28.6%","0.5","3.0","16.7","2021","Forward"
"53","Monte Morris","DEN","27","5","5","100%","5.0","10.2","49.0","59.8","49.0%","2.8","5.0","56.0","51.0%","2.2","5.2","42.3","2021","Forward"
"54","Max Strus","MIA","26","18","18","100%","3.8","10.1","37.4","50.3","22.0%","1.2","2.2","52.5","78.0%","2.6","7.9","33.1","2021","Forward"
"55","Jaylen Nowell","MIN","22","1","1","100%","3.0","10.0","30.0","30.0","50.0%","3.0","5.0","60.0","50.0%","0.0","5.0","0.0","2021","Forward"
"56","Seth Curry","BKN","31","4","4","100%","5.5","9.8","56.4","71.8","41.0%","2.5","4.0","62.5","59.0%","3.0","5.8","52.2","2021","Forward"
"57","Bam Adebayo","MIA","24","18","18","100%","5.8","9.7","59.4","59.4","99.4%","5.8","9.7","59.8","0.6%","0.0","0.1","0.0","2021","Forward"
"58","Bobby Portis","MIL","27","12","12","100%","4.0","9.6","41.7","47.8","59.1%","2.8","5.7","50.0","40.9%","1.2","3.9","29.8","2021","Forward"
"59","Mike Conley","UTA","34","6","6","100%","3.2","9.5","33.3","37.7","56.1%","2.3","5.3","43.8","43.9%","0.8","4.2","20.0","2021","Forward"
"60","Patrick Williams","CHI","20","5","5","100%","4.4","9.4","46.8","54.3","55.3%","3.0","5.2","57.7","44.7%","1.4","4.2","33.3","2021","Forward"
"61","Kevin Huerter","ATL","23","5","5","100%","3.4","9.4","36.2","45.7","34.0%","1.6","3.2","50.0","66.0%","1.8","6.2","29.0","2021","Forward"
"62","Bruce Brown","BKN","25","4","4","100%","5.3","9.3","56.8","64.9","62.2%","3.8","5.8","65.2","37.8%","1.5","3.5","42.9","2021","Forward"
"63","Victor Oladipo","MIA","30","15","15","100%","3.3","9.1","36.8","43.0","54.4%","2.2","4.9","44.6","45.6%","1.1","4.1","27.4","2021","Forward"
"64","Danilo Gallinari","ATL","33","5","5","100%","3.6","9.0","40.0","44.4","66.7%","2.8","6.0","46.7","33.3%","0.8","3.0","26.7","2021","Forward"
"65","Coby White","CHI","22","5","5","100%","3.0","9.0","33.3","42.2","35.6%","1.4","3.2","43.8","64.4%","1.6","5.8","27.6","2021","Forward"
"66","Dorian Finney-Smith","DAL","29","18","18","100%","4.1","8.7","47.1","61.8","31.2%","1.6","2.7","57.1","68.8%","2.6","6.0","42.6","2021","Forward"
"67","Precious Achiuwa","TOR","22","6","6","100%","4.2","8.7","48.1","52.9","69.2%","3.3","6.0","55.6","30.8%","0.8","2.7","31.3","2021","Forward"
"68","Kyle Lowry","MIA","36","10","10","100%","2.5","8.6","29.1","36.6","37.2%","1.2","3.2","37.5","62.8%","1.3","5.4","24.1","2021","Forward"
"69","Brook Lopez","MIL","34","12","12","100%","4.2","8.6","48.5","51.5","72.8%","3.7","6.3","58.7","27.2%","0.5","2.3","21.4","2021","Forward"
"70","Al Horford","BOS","36","23","23","100%","4.4","8.4","52.3","64.5","49.2%","2.4","4.1","56.8","50.8%","2.0","4.3","48.0","2021","Forward"
"71","Reggie Bullock","DAL","31","18","18","100%","3.4","8.4","40.4","57.6","13.2%","0.5","1.1","45.0","86.8%","2.9","7.3","39.7","2021","Forward"
"72","Tyus Jones","MEM","26","12","12","100%","3.3","8.3","39.4","48.5","54.5%","1.8","4.5","38.9","45.5%","1.5","3.8","40.0","2021","Forward"
"73","Patrick Beverley","MIN","33","6","6","100%","3.5","8.2","42.9","52.0","46.9%","2.0","3.8","52.2","53.1%","1.5","4.3","34.6","2021","Forward"
"74","Jae Crowder","PHX","31","13","13","100%","3.2","8.1","40.0","49.0","40.0%","1.8","3.2","54.8","60.0%","1.5","4.8","30.2","2021","Forward"
"75","Goran Dragic","BKN","36","4","4","100%","4.5","8.0","56.3","62.5","62.5%","3.5","5.0","70.0","37.5%","1.0","3.0","33.3","2021","Forward"
"76","John Collins","ATL","24","5","5","100%","3.8","7.8","48.7","53.8","71.8%","3.0","5.6","53.6","28.2%","0.8","2.2","36.4","2021","Forward"
"77","Derrick White","BOS","27","23","23","100%","2.8","7.7","36.4","43.8","52.8%","1.6","4.0","40.9","47.2%","1.1","3.6","31.3","2021","Forward"
"78","Cameron Johnson","PHX","26","13","13","100%","3.5","7.6","46.5","57.6","40.4%","1.9","3.1","60.0","59.6%","1.7","4.5","37.3","2021","Forward"
"79","Brandon Clarke","MEM","25","12","12","100%","4.7","7.6","61.5","61.5","98.9%","4.7","7.5","62.2","1.1%","0.0","0.1","0.0","2021","Forward"
"80","Danny Green","PHI","35","12","12","100%","3.0","7.4","40.4","57.9","14.6%","0.4","1.1","38.5","85.4%","2.6","6.3","40.8","2021","Forward"
"81","Herbert Jones","NOP","23","6","6","100%","3.5","7.3","47.7","53.4","72.7%","2.7","5.3","50.0","27.3%","0.8","2.0","41.7","2021","Forward"
"82","Pat Connaughton","MIL","29","12","12","100%","3.5","7.3","47.7","61.9","27.3%","1.4","2.0","70.8","72.7%","2.1","5.3","39.1","2021","Forward"
"83","Malik Beasley","MIN","25","6","5","100%","3.2","7.3","43.2","52.3","43.2%","1.8","3.2","57.9","56.8%","1.3","4.2","32.0","2021","Forward"
"84","Gabe Vincent","MIA","26","18","18","100%","2.8","7.3","38.2","47.7","38.2%","1.4","2.8","50.0","61.8%","1.4","4.5","30.9","2021","Forward"
"85","Bones Hyland","DEN","21","5","5","100%","2.6","7.2","36.1","47.2","36.1%","1.0","2.6","38.5","63.9%","1.6","4.6","34.8","2021","Forward"
"86","Chris Boucher","TOR","29","6","6","100%","4.3","7.0","61.9","69.0","64.3%","3.3","4.5","74.1","35.7%","1.0","2.5","40.0","2021","Forward"
"87","Grayson Allen","MIL","26","12","12","100%","3.1","6.8","45.1","56.7","41.5%","1.5","2.8","52.9","58.5%","1.6","4.0","39.6","2021","Forward"
"88","Draymond Green","GSW","32","22","22","100%","3.1","6.5","47.9","50.7","72.9%","2.8","4.8","58.1","27.1%","0.4","1.8","20.5","2021","Forward"
"89","Larry Nance Jr.","NOP","29","6","6","100%","3.7","6.5","56.4","59.0","76.9%","3.3","5.0","66.7","23.1%","0.3","1.5","22.2","2021","Forward"
"90","De'Anthony Melton","MEM","24","10","10","100%","2.1","6.5","32.3","40.8","32.3%","1.0","2.1","47.6","67.7%","1.1","4.4","25.0","2021","Forward"
"91","Grant Williams","BOS","23","24","24","100%","2.7","6.3","43.3","55.0","40.7%","1.3","2.5","49.2","59.3%","1.5","3.7","39.3","2021","Forward"
"92","P.J. Tucker","MIA","37","18","18","100%","3.0","6.1","49.5","60.1","53.2%","1.7","3.2","53.4","46.8%","1.3","2.8","45.1","2021","Forward"
"93","Nic Claxton","BKN","23","4","4","100%","4.8","6.0","79.2","79.2","100%","4.8","6.0","79.2","0.0%","0.0","0.0","-","2021","Forward"
"94","Maxi Kleber","DAL","30","18","18","100%","3.0","5.9","50.9","67.0","26.4%","1.1","1.6","71.4","73.6%","1.9","4.3","43.6","2021","Forward"
"95","Royce O'Neale","UTA","29","6","5","100%","2.3","5.8","40.0","50.0","28.6%","1.2","1.7","70.0","71.4%","1.2","4.2","28.0","2021","Forward"
"96","DeMarcus Cousins","DEN","31","5","5","100%","3.8","5.8","65.5","72.4","79.3%","3.0","4.6","65.2","20.7%","0.8","1.2","66.7","2021","Forward"
"97","Delon Wright","ATL","30","5","5","100%","3.0","5.8","51.7","60.3","55.2%","2.0","3.2","62.5","44.8%","1.0","2.6","38.5","2021","Forward"
"98","Alex Caruso","CHI","28","4","4","100%","2.3","5.8","39.1","54.3","21.7%","0.5","1.3","40.0","78.3%","1.8","4.5","38.9","2021","Forward"
"99","Cameron Payne","PHX","27","13","13","100%","1.7","5.7","29.7","33.1","59.5%","1.3","3.4","38.6","40.5%","0.4","2.3","16.7","2021","Forward"
"100","Jaden McDaniels","MIN","21","6","6","100%","3.0","5.7","52.9","67.6","41.2%","1.3","2.3","57.1","58.8%","1.7","3.3","50.0","2021","Forward"
"101","Troy Brown Jr.","CHI","22","3","3","100%","1.7","5.7","29.4","35.3","35.3%","1.0","2.0","50.0","64.7%","0.7","3.7","18.2","2021","Forward"
"102","Rudy Gobert","UTA","30","6","6","100%","3.5","5.5","63.6","63.6","100%","3.5","5.5","63.6","0.0%","0.0","0.0","-","2021","Forward"
"103","Kevin Knox II","ATL","22","2","2","100%","3.5","5.5","63.6","90.9","9.1%","0.5","0.5","100","90.9%","3.0","5.0","60.0","2021","Forward"
"104","Jose Alvarado","NOP","24","6","6","100%","2.7","5.5","48.5","57.6","51.5%","1.7","2.8","58.8","48.5%","1.0","2.7","37.5","2021","Forward"
"105","Taurean Prince","MIN","28","5","5","100%","2.0","5.4","37.0","44.4","48.1%","1.2","2.6","46.2","51.9%","0.8","2.8","28.6","2021","Forward"
"106","Wesley Matthews","MIL","35","12","12","100%","2.1","5.3","39.1","53.1","29.7%","0.6","1.6","36.8","70.3%","1.5","3.8","40.0","2021","Forward"
"107","Ziaire Williams","MEM","20","10","10","100%","2.3","5.2","44.2","54.8","30.8%","1.2","1.6","75.0","69.2%","1.1","3.6","30.6","2021","Forward"
"108","Ayo Dosunmu","CHI","22","5","5","100%","1.6","5.2","30.8","36.5","50.0%","1.0","2.6","38.5","50.0%","0.6","2.6","23.1","2021","Forward"
"109","Caleb Martin","MIA","26","17","14","100%","1.9","4.7","40.0","46.3","58.8%","1.3","2.8","46.8","41.3%","0.6","1.9","30.3","2021","Forward"
"110","Robert Williams III","BOS","24","17","17","100%","3.1","4.6","67.9","67.9","98.7%","3.1","4.5","68.8","1.3%","0.0","0.1","0.0","2021","Forward"
"111","Jarred Vanderbilt","MIN","23","6","5","100%","2.2","4.5","48.1","48.1","100%","2.2","4.5","48.1","0.0%","0.0","0.0","-","2021","Forward"
"112","Duncan Robinson","MIA","28","13","11","100%","1.9","4.4","43.9","59.6","17.5%","0.5","0.8","70.0","82.5%","1.4","3.6","38.3","2021","Forward"
"113","Kyle Anderson","MEM","28","12","11","100%","2.4","4.3","56.9","59.8","76.5%","2.2","3.3","66.7","23.5%","0.3","1.0","25.0","2021","Forward"
"114","Payton Pritchard","BOS","24","24","23","100%","1.8","4.3","42.2","53.9","29.4%","0.8","1.3","63.3","70.6%","1.0","3.0","33.3","2021","Forward"
"115","JaVale McGee","PHX","34","12","12","100%","2.9","4.2","70.0","70.0","98.0%","2.9","4.1","71.4","2.0%","0.0","0.1","0.0","2021","Forward"
"116","Jaxson Hayes","NOP","22","6","6","100%","2.3","4.2","56.0","56.0","88.0%","2.3","3.7","63.6","12.0%","0.0","0.5","0.0","2021","Forward"
"117","Otto Porter Jr.","GSW","29","19","18","100%","2.0","4.0","49.4","61.7","39.0%","1.0","1.6","63.3","61.0%","1.0","2.5","40.4","2021","Forward"
"118","Kevon Looney","GSW","26","22","21","100%","2.6","4.0","65.9","65.9","100%","2.6","4.0","65.9","0.0%","0.0","0.0","-","2021","Forward"
"119","Patty Mills","BKN","33","4","4","100%","2.3","4.0","56.3","78.1","18.8%","0.5","0.8","66.7","81.3%","1.8","3.3","53.8","2021","Forward"
"120","Georges Niang","PHI","29","12","12","100%","1.7","4.0","41.7","58.3","10.4%","0.3","0.4","80.0","89.6%","1.3","3.6","37.2","2021","Forward"
"121","Landry Shamet","PHX","25","12","12","100%","1.6","4.0","39.6","49.0","45.8%","0.8","1.8","45.5","54.2%","0.8","2.2","34.6","2021","Forward"
"122","Willy Hernangomez","NOP","28","1","1","100%","1.0","4.0","25.0","25.0","75.0%","1.0","3.0","33.3","25.0%","0.0","1.0","0.0","2021","Forward"
"123","Jonathan Kuminga","GSW","19","16","9","100%","1.9","3.8","50.0","52.5","78.3%","1.7","2.9","57.4","21.7%","0.2","0.8","23.1","2021","Forward"
"124","Gary Payton II","GSW","29","12","11","100%","2.4","3.7","65.9","75.0","65.9%","1.8","2.4","72.4","34.1%","0.7","1.3","53.3","2021","Forward"
"125","Trey Murphy III","NOP","22","6","5","100%","1.5","3.7","40.9","61.4","13.6%","0.0","0.5","0.0","86.4%","1.5","3.2","47.4","2021","Forward"
"126","Danuel House Jr.","UTA","29","6","6","100%","1.5","3.7","40.9","45.5","54.5%","1.2","2.0","58.3","45.5%","0.3","1.7","20.0","2021","Forward"
"127","Austin Rivers","DEN","29","5","5","100%","1.6","3.6","44.4","55.6","33.3%","0.8","1.2","66.7","66.7%","0.8","2.4","33.3","2021","Forward"
"128","Blake Griffin","BKN","33","2","2","100%","1.0","3.5","28.6","42.9","28.6%","0.0","1.0","0.0","71.4%","1.0","2.5","40.0","2021","Forward"
"129","Jordan McLaughlin","MIN","26","5","5","100%","2.4","3.4","70.6","82.4","58.8%","1.6","2.0","80.0","41.2%","0.8","1.4","57.1","2021","Forward"
"130","Naz Reid","MIN","22","5","4","100%","1.4","3.4","41.2","50.0","58.8%","0.8","2.0","40.0","41.2%","0.6","1.4","42.9","2021","Forward"
"131","Derrick Jones Jr.","CHI","25","5","5","100%","1.4","3.4","41.2","50.0","35.3%","0.8","1.2","66.7","64.7%","0.6","2.2","27.3","2021","Forward"
"132","Jeff Green","DEN","35","5","5","100%","1.2","3.4","35.3","44.1","52.9%","0.6","1.8","33.3","47.1%","0.6","1.6","37.5","2021","Forward"
"133","Javonte Green","CHI","28","5","5","100%","0.6","3.4","17.6","17.6","64.7%","0.6","2.2","27.3","35.3%","0.0","1.2","0.0","2021","Forward"
"134","Jarrett Culver","MEM","23","3","3","100%","1.0","3.3","30.0","30.0","80.0%","1.0","2.7","37.5","20.0%","0.0","0.7","0.0","2021","Forward"
"135","Dewayne Dedmon","MIA","32","14","12","100%","1.5","3.2","46.7","47.8","77.8%","1.4","2.5","57.1","22.2%","0.1","0.7","10.0","2021","Forward"
"136","Onyeka Okongwu","ATL","21","5","5","100%","1.8","3.2","56.3","56.3","100%","1.8","3.2","56.3","0.0%","0.0","0.0","-","2021","Forward"
"137","JaMychal Green","DEN","32","5","5","100%","1.2","3.2","37.5","40.6","68.8%","1.0","2.2","45.5","31.3%","0.2","1.0","20.0","2021","Forward"
"138","Daniel Theis","BOS","30","16","14","100%","1.9","3.2","58.8","61.8","72.5%","1.7","2.3","73.0","27.5%","0.2","0.9","21.4","2021","Forward"
"139","Shake Milton","PHI","25","12","11","100%","1.5","3.2","47.4","57.9","60.5%","0.8","1.9","43.5","39.5%","0.7","1.3","53.3","2021","Forward"
"140","Davis Bertans","DAL","29","18","16","100%","1.2","3.1","40.0","57.3","7.3%","0.2","0.2","75.0","92.7%","1.1","2.8","37.3","2021","Forward"
"141","Paul Reed","PHI","23","12","11","100%","1.6","3.0","52.8","55.6","91.7%","1.4","2.8","51.5","8.3%","0.2","0.3","66.7","2021","Forward"
"142","Thaddeus Young","TOR","34","6","6","100%","1.5","3.0","50.0","52.8","61.1%","1.3","1.8","72.7","38.9%","0.2","1.2","14.3","2021","Forward"
"143","Steven Adams","MEM","28","7","4","100%","1.3","3.0","42.9","42.9","100%","1.3","3.0","42.9","0.0%","0.0","0.0","-","2021","Forward"
"144","Bryn Forbes","DEN","28","5","5","100%","1.2","3.0","40.0","53.3","26.7%","0.4","0.8","50.0","73.3%","0.8","2.2","36.4","2021","Forward"
"145","Devonte' Graham","NOP","27","6","6","100%","1.0","3.0","33.3","47.2","22.2%","0.2","0.7","25.0","77.8%","0.8","2.3","35.7","2021","Forward"
"146","Clint Capela","ATL","28","2","2","100%","1.0","3.0","33.3","33.3","100%","1.0","3.0","33.3","0.0%","0.0","0.0","-","2021","Forward"
"147","Juancho Hernangomez","UTA","26","6","6","100%","0.8","3.0","27.8","38.9","33.3%","0.2","1.0","16.7","66.7%","0.7","2.0","33.3","2021","Forward"
"148","Xavier Tillman Sr.","MEM","23","9","9","100%","2.0","2.8","72.0","74.0","92.0%","1.9","2.6","73.9","8.0%","0.1","0.2","50.0","2021","Forward"
"149","Andre Drummond","BKN","28","4","3","100%","1.5","2.8","54.5","54.5","100%","1.5","2.8","54.5","0.0%","0.0","0.0","-","2021","Forward"
"150","Khem Birch","TOR","29","6","5","100%","1.3","2.7","50.0","56.3","75.0%","1.0","2.0","50.0","25.0%","0.3","0.7","50.0","2021","Forward"
"151","Matisse Thybulle","PHI","25","9","8","100%","1.2","2.7","45.8","54.2","41.7%","0.8","1.1","70.0","58.3%","0.4","1.6","28.6","2021","Forward"
"152","Serge Ibaka","MIL","32","6","5","100%","0.7","2.7","25.0","25.0","81.3%","0.7","2.2","30.8","18.8%","0.0","0.5","0.0","2021","Forward"
"153","Furkan Korkmaz","PHI","24","9","5","100%","1.2","2.6","47.8","56.5","56.5%","0.8","1.4","53.8","43.5%","0.4","1.1","40.0","2021","Forward"
"154","Tony Bradley","CHI","24","2","1","100%","2.5","2.5","100","100","100%","2.5","2.5","100","0.0%","0.0","0.0","-","2021","Forward"
"155","Greg Monroe","MIN","32","2","1","100%","1.0","2.5","40.0","40.0","100%","1.0","2.5","40.0","0.0%","0.0","0.0","-","2021","Forward"
"156","Torrey Craig","PHX","31","9","7","100%","0.9","2.4","36.4","43.2","54.5%","0.6","1.3","41.7","45.5%","0.3","1.1","30.0","2021","Forward"
"157","Aaron Holiday","PHX","25","6","6","100%","1.3","2.3","57.1","75.0","50.0%","0.5","1.2","42.9","50.0%","0.8","1.2","71.4","2021","Forward"
"158","Nemanja Bjelica","GSW","34","15","12","100%","1.2","2.3","52.9","57.4","76.5%","1.0","1.7","57.7","23.5%","0.2","0.5","37.5","2021","Forward"
"159","Trey Burke","DAL","29","10","8","100%","1.1","2.2","50.0","59.1","54.5%","0.7","1.2","58.3","45.5%","0.4","1.0","40.0","2021","Forward"
"160","Moses Moody","GSW","20","13","10","100%","1.1","2.1","53.6","66.1","53.6%","0.6","1.1","53.3","46.4%","0.5","1.0","53.8","2021","Forward"
"161","Damion Lee","GSW","29","16","14","100%","0.8","2.1","38.2","44.1","52.9%","0.6","1.1","50.0","47.1%","0.3","1.0","25.0","2021","Forward"
"162","Nickeil Alexander-Walker","UTA","23","1","1","100%","2.0","2.0","100","100","100%","2.0","2.0","100","0.0%","0.0","0.0","-","2021","Forward"
"163","Omer Yurtseven","MIA","24","9","8","100%","1.3","2.0","66.7","66.7","88.9%","1.3","1.8","75.0","11.1%","0.0","0.2","0.0","2021","Forward"
"164","Hassan Whiteside","UTA","33","6","6","100%","0.8","2.0","41.7","41.7","100%","0.8","2.0","41.7","0.0%","0.0","0.0","-","2021","Forward"
"165","Frank Ntilikina","DAL","23","12","10","100%","0.7","2.0","33.3","45.8","16.7%","0.2","0.3","50.0","83.3%","0.5","1.7","30.0","2021","Forward"
"166","Jared Butler","UTA","21","1","1","100%","0.0","2.0","0.0","0.0","100%","0.0","2.0","0.0","0.0%","0.0","0.0","-","2021","Forward"
"167","Dwight Powell","DAL","30","18","15","100%","1.2","1.9","62.9","62.9","94.3%","1.2","1.8","66.7","5.7%","0.0","0.1","0.0","2021","Forward"
"168","Bismack Biyombo","PHX","29","9","6","100%","1.2","1.9","64.7","64.7","100%","1.2","1.9","64.7","0.0%","0.0","0.0","-","2021","Forward"
