"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"1","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2021-2022"
"639","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2015-2016"
"640","Russell Westbrook","OKC","27","18","18","100%","8.8","20.8","42.4","46.9","72.0%","6.9","15.0","46.3","28.0%","1.9","5.8","32.4","2015-2016"
"641","Damian Lillard","POR","25","11","11","100%","8.1","20.4","39.7","49.1","53.1%","4.3","10.8","39.5","46.9%","3.8","9.6","40.0","2015-2016"
"642","James Harden","HOU","26","5","5","100%","8.2","19.4","42.3","49.0","56.7%","5.6","11.0","50.9","43.3%","2.6","8.4","31.0","2015-2016"
"643","Kyrie Irving","CLE","24","21","21","100%","9.6","19.1","50.1","56.5","71.1%","7.1","13.6","52.6","28.9%","2.4","5.5","44.0","2015-2016"
"644","Kemba Walker","CHA","26","7","7","100%","8.0","18.6","43.1","48.5","67.7%","6.0","12.6","47.7","32.3%","2.0","6.0","33.3","2015-2016"
"645","DeMar DeRozan","TOR","26","20","20","100%","7.8","18.4","42.5","43.1","93.0%","7.7","17.1","44.6","7.0%","0.2","1.3","15.4","2015-2016"
"646","Chris Paul","LAC","31","4","4","100%","9.3","18.0","51.4","55.6","72.2%","7.8","13.0","59.6","27.8%","1.5","5.0","30.0","2015-2016"
"647","Stephen Curry","GSW","28","18","18","100%","8.2","17.9","45.8","58.2","39.3%","3.8","7.1","53.5","60.7%","4.4","10.9","40.8","2015-2016"
"648","Klay Thompson","GSW","26","24","24","100%","8.4","17.8","47.0","58.4","46.5%","4.3","8.3","51.8","53.5%","4.1","9.5","42.8","2015-2016"
"649","Dwyane Wade","MIA","34","14","14","100%","8.5","17.5","48.6","51.0","90.6%","7.6","15.9","48.2","9.4%","0.9","1.6","52.2","2015-2016"
"650","CJ McCollum","POR","24","11","11","100%","7.6","17.3","44.2","49.5","70.0%","5.8","12.1","48.1","30.0%","1.8","5.2","35.1","2015-2016"
"651","Isaiah Thomas","BOS","27","6","6","100%","7.8","17.2","45.6","51.9","58.3%","5.7","10.0","56.7","41.7%","2.2","7.2","30.2","2015-2016"
"652","Jamal Crawford","LAC","36","6","6","100%","6.5","16.7","39.0","41.0","79.0%","5.8","13.2","44.3","21.0%","0.7","3.5","19.0","2015-2016"
"653","Kyle Lowry","TOR","30","20","20","100%","6.5","15.5","42.3","49.0","56.1%","4.5","8.7","51.1","43.9%","2.1","6.8","30.9","2015-2016"
"654","Avery Bradley","BOS","25","1","1","100%","7.0","15.0","46.7","50.0","60.0%","6.0","9.0","66.7","40.0%","1.0","6.0","16.7","2015-2016"
"655","Goran Dragic","MIA","30","14","14","100%","6.5","14.1","46.2","50.3","77.2%","5.4","10.9","49.3","22.8%","1.1","3.2","35.6","2015-2016"
"656","Reggie Jackson","DET","26","4","4","100%","6.3","13.3","47.2","50.0","66.0%","5.5","8.8","62.9","34.0%","0.8","4.5","16.7","2015-2016"
"657","Evan Turner","BOS","27","6","6","100%","5.2","12.8","40.3","42.2","83.1%","4.7","10.7","43.8","16.9%","0.5","2.2","23.1","2015-2016"
"658","JJ Redick","LAC","32","6","6","100%","5.7","12.5","45.3","52.7","58.7%","3.8","7.3","52.3","41.3%","1.8","5.2","35.5","2015-2016"
"659","Raymond Felton","DAL","32","5","5","100%","6.4","12.4","51.6","54.8","77.4%","5.6","9.6","58.3","22.6%","0.8","2.8","28.6","2015-2016"
"660","Kentavious Caldwell-Pope","DET","23","4","4","100%","5.5","12.3","44.9","57.1","44.9%","2.5","5.5","45.5","55.1%","3.0","6.8","44.4","2015-2016"
"661","Wesley Matthews","DAL","29","5","5","100%","4.0","11.2","35.7","44.6","37.5%","2.0","4.2","47.6","62.5%","2.0","7.0","28.6","2015-2016"
"662","Kent Bazemore","ATL","26","10","10","100%","4.4","11.1","39.6","46.8","45.0%","2.8","5.0","56.0","55.0%","1.6","6.1","26.2","2015-2016"
"663","Joe Johnson","MIA","35","14","14","100%","4.9","11.1","43.9","48.1","70.3%","3.9","7.8","50.5","29.7%","0.9","3.3","28.3","2015-2016"
"664","Jeff Teague","ATL","28","10","10","100%","4.6","10.6","43.4","47.6","66.0%","3.7","7.0","52.9","34.0%","0.9","3.6","25.0","2015-2016"
"665","Monta Ellis","IND","30","7","7","100%","4.7","10.3","45.8","50.7","70.8%","3.7","7.3","51.0","29.2%","1.0","3.0","33.3","2015-2016"
"666","Lance Stephenson","MEM","25","4","4","100%","5.8","10.3","56.1","58.5","87.8%","5.3","9.0","58.3","12.2%","0.5","1.3","40.0","2015-2016"
"667","Austin Rivers","LAC","23","6","6","100%","4.3","10.0","43.3","46.7","71.7%","3.7","7.2","51.2","28.3%","0.7","2.8","23.5","2015-2016"
"668","Dennis Schroder","ATL","22","10","10","100%","4.7","9.2","51.1","57.6","62.0%","3.5","5.7","61.4","38.0%","1.2","3.5","34.3","2015-2016"
"669","Tony Parker","SAS","34","10","10","100%","4.4","8.9","49.4","51.7","83.1%","4.0","7.4","54.1","16.9%","0.4","1.5","26.7","2015-2016"
"670","Nicolas Batum","CHA","27","5","5","100%","3.4","8.8","38.6","45.5","50.0%","2.2","4.4","50.0","50.0%","1.2","4.4","27.3","2015-2016"
"671","JR Smith","CLE","30","21","21","100%","3.9","8.6","45.6","63.6","18.3%","0.8","1.6","51.5","81.7%","3.1","7.0","44.2","2015-2016"
"672","Marcus Smart","BOS","22","6","6","100%","3.7","8.5","43.1","53.9","39.2%","1.8","3.3","55.0","60.8%","1.8","5.2","35.5","2015-2016"
"673","Jeremy Lin","CHA","27","7","7","100%","3.7","8.4","44.1","46.6","76.3%","3.3","6.4","51.1","23.7%","0.4","2.0","21.4","2015-2016"
