"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"1","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2021-2022"
"539","Treveon Graham","BKN","25","5","5","100%","0.4","2.0","20.0","20.0","30.0%","0.4","0.6","66.7","70.0%","0.0","1.4","0.0","2018-2019"
"540","Jonah Bolden","PHI","23","10","7","100%","0.5","1.9","26.3","36.8","15.8%","0.1","0.3","33.3","84.2%","0.4","1.6","25.0","2018-2019"
"541","Garrett Temple","LAC","33","6","5","100%","0.5","1.8","27.3","31.8","36.4%","0.3","0.7","50.0","63.6%","0.2","1.2","14.3","2018-2019"
"542","Melvin Frazier Jr.","ORL","22","3","2","100%","0.7","1.7","40.0","40.0","100%","0.7","1.7","40.0","0.0%","0.0","0.0","-","2018-2019"
"543","Aron Baynes","BOS","32","9","8","100%","0.9","1.6","57.1","64.3","57.1%","0.7","0.9","75.0","42.9%","0.2","0.7","33.3","2018-2019"
"544","Dzanan Musa","BKN","20","2","2","100%","1.0","1.5","66.7","66.7","66.7%","1.0","1.0","100","33.3%","0.0","0.5","0.0","2018-2019"
"545","Semi Ojeleye","BOS","24","6","3","100%","0.7","1.5","44.4","61.1","44.4%","0.2","0.7","25.0","55.6%","0.5","0.8","60.0","2018-2019"
"546","Nene","HOU","36","7","5","100%","1.4","1.4","100","100","100%","1.4","1.4","100","0.0%","0.0","0.0","-","2018-2019"
"547","Skal Labissiere","POR","23","3","3","100%","0.3","1.3","25.0","25.0","50.0%","0.3","0.7","50.0","50.0%","0.0","0.7","0.0","2018-2019"
"548","Jake Layman","POR","25","6","5","100%","0.2","1.2","14.3","14.3","28.6%","0.2","0.3","50.0","71.4%","0.0","0.8","0.0","2018-2019"
"549","Isaiah Hartenstein","HOU","21","2","1","100%","1.0","1.0","100","100","100%","1.0","1.0","100","0.0%","0.0","0.0","-","2018-2019"
"550","Amir Johnson","PHI","32","4","2","100%","1.0","1.0","100","100","100%","1.0","1.0","100","0.0%","0.0","0.0","-","2018-2019"
"551","Guerschon Yabusele","BOS","23","4","2","100%","0.5","1.0","50.0","50.0","75.0%","0.5","0.8","66.7","25.0%","0.0","0.3","0.0","2018-2019"
"552","Trey Lyles","DEN","23","3","1","100%","0.0","1.0","0.0","0.0","66.7%","0.0","0.7","0.0","33.3%","0.0","0.3","0.0","2018-2019"
"553","Malcolm Miller","TOR","26","10","4","100%","0.2","0.8","25.0","31.3","25.0%","0.1","0.2","50.0","75.0%","0.1","0.6","16.7","2018-2019"
