"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"1","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2021-2022"
"632","Bam Adebayo","MIA","20","5","5","100%","1.4","2.8","50.0","50.0","100%","1.4","2.8","50.0","0.0%","0.0","0.0","-","2017-2018"
"633","Greg Monroe","BOS","28","11","10","100%","1.7","2.7","63.3","63.3","100%","1.7","2.7","63.3","0.0%","0.0","0.0","-","2017-2018"
"634","Nick Young","GSW","33","20","18","100%","0.8","2.6","30.8","44.2","11.5%","0.1","0.3","33.3","88.5%","0.7","2.3","30.4","2017-2018"
"635","Amir Johnson","PHI","31","8","5","100%","1.4","2.5","55.0","55.0","100%","1.4","2.5","55.0","0.0%","0.0","0.0","-","2017-2018"
"636","David West","GSW","37","18","17","100%","1.5","2.4","61.4","62.5","95.5%","1.4","2.3","61.9","4.5%","0.1","0.1","50.0","2017-2018"
"637","Solomon Hill","NOP","27","9","8","100%","1.0","2.4","40.9","54.5","27.3%","0.3","0.7","50.0","72.7%","0.7","1.8","37.5","2017-2018"
"638","Norman Powell","TOR","25","6","6","100%","0.7","2.2","30.8","34.6","46.2%","0.5","1.0","50.0","53.8%","0.2","1.2","14.3","2017-2018"
"639","Joe Johnson","HOU","37","8","7","100%","0.8","2.1","35.3","35.3","82.4%","0.8","1.8","42.9","17.6%","0.0","0.4","0.0","2017-2018"
"640","Tomas Satoransky","WAS","26","6","6","100%","0.3","2.0","16.7","16.7","83.3%","0.3","1.7","20.0","16.7%","0.0","0.3","0.0","2017-2018"
"641","Caleb Swanigan","POR","21","1","1","100%","0.0","2.0","0.0","0.0","50.0%","0.0","1.0","0.0","50.0%","0.0","1.0","0.0","2017-2018"
"642","Jonas Jerebko","UTA","31","10","6","100%","0.8","1.8","44.4","47.2","66.7%","0.7","1.2","58.3","33.3%","0.1","0.6","16.7","2017-2018"
"643","Semi Ojeleye","BOS","23","17","11","100%","0.6","1.8","33.3","43.3","26.7%","0.2","0.5","50.0","73.3%","0.3","1.3","27.3","2017-2018"
"644","Ed Davis","POR","29","4","2","100%","1.3","1.8","71.4","71.4","100%","1.3","1.8","71.4","0.0%","0.0","0.0","-","2017-2018"
"645","Jordan Bell","GSW","23","17","13","100%","1.0","1.6","60.7","60.7","96.4%","1.0","1.6","63.0","3.6%","0.0","0.1","0.0","2017-2018"
"646","Nene","HOU","35","11","8","100%","1.1","1.6","66.7","66.7","100%","1.1","1.6","66.7","0.0%","0.0","0.0","-","2017-2018"
"647","Ryan Anderson","HOU","30","11","8","100%","0.6","1.6","41.2","55.9","23.5%","0.2","0.4","50.0","76.5%","0.5","1.2","38.5","2017-2018"
"648","Cheick Diallo","NOP","21","7","5","100%","0.7","1.4","50.0","50.0","100%","0.7","1.4","50.0","0.0%","0.0","0.0","-","2017-2018"
"649","Trevor Booker","IND","30","7","5","100%","0.9","1.3","66.7","66.7","88.9%","0.9","1.1","75.0","11.1%","0.0","0.1","0.0","2017-2018"
"650","Cedi Osman","CLE","23","14","7","100%","0.4","1.3","33.3","36.1","61.1%","0.4","0.8","45.5","38.9%","0.1","0.5","14.3","2017-2018"
"651","Abdel Nader","BOS","24","11","4","100%","0.5","1.3","35.7","35.7","71.4%","0.5","0.9","50.0","28.6%","0.0","0.4","0.0","2017-2018"
"652","Justin Anderson","PHI","24","7","5","100%","0.4","1.1","37.5","50.0","12.5%","0.1","0.1","100","87.5%","0.3","1.0","28.6","2017-2018"
"653","Ante Zizic","CLE","21","8","6","100%","0.6","1.1","55.6","55.6","100%","0.6","1.1","55.6","0.0%","0.0","0.0","-","2017-2018"
"654","Furkan Korkmaz","PHI","20","1","1","100%","1.0","1.0","100","150.0","0.0%","0.0","0.0","-","100%","1.0","1.0","100","2017-2018"
"655","Patrick Patterson","OKC","29","6","3","100%","0.5","1.0","50.0","66.7","33.3%","0.2","0.3","50.0","66.7%","0.3","0.7","50.0","2017-2018"
"656","Rodney McGruder","MIA","26","4","2","100%","0.3","0.8","33.3","33.3","33.3%","0.3","0.3","100","66.7%","0.0","0.5","0.0","2017-2018"
"657","Guerschon Yabusele","BOS","22","12","5","100%","0.1","0.6","14.3","14.3","28.6%","0.1","0.2","50.0","71.4%","0.0","0.4","0.0","2017-2018"
"658","Glenn Robinson III","IND","24","2","1","100%","0.5","0.5","100","100","100%","0.5","0.5","100","0.0%","0.0","0.0","-","2017-2018"
"659","Luke Babbitt","MIA","29","2","1","100%","0.0","0.5","0.0","0.0","100%","0.0","0.5","0.0","0.0%","0.0","0.0","-","2017-2018"
"660","Tarik Black","HOU","26","7","2","100%","0.1","0.4","33.3","33.3","100%","0.1","0.4","33.3","0.0%","0.0","0.0","-","2017-2018"
"661","Zhou Qi","HOU","22","3","1","100%","0.3","0.3","100","100","100%","0.3","0.3","100","0.0%","0.0","0.0","-","2017-2018"
"662","Richaun Holmes","PHI","24","3","1","100%","0.0","0.3","0.0","0.0","100%","0.0","0.3","0.0","0.0%","0.0","0.0","-","2017-2018"
"663","Ekpe Udoh","UTA","31","6","1","100%","0.2","0.2","100","100","100%","0.2","0.2","100","0.0%","0.0","0.0","-","2017-2018"
"664","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2016-2017"
"665","Paul George","IND","27","4","4","100%","8.5","20.5","41.5","52.4","50.0%","4.0","10.3","39.0","50.0%","4.5","10.3","43.9","2016-2017"
"666","LeBron James","CLE","32","18","18","100%","12.1","20.4","59.0","64.9","71.2%","9.6","14.6","66.0","28.8%","2.4","5.9","41.5","2016-2017"
"667","Giannis Antetokounmpo","MIL","22","6","6","100%","10.0","17.2","58.3","60.2","90.3%","9.3","15.5","60.2","9.7%","0.7","1.7","40.0","2016-2017"
"668","Kevin Durant","GSW","28","15","15","100%","9.9","17.0","58.4","65.9","67.1%","7.4","11.4","64.9","32.9%","2.5","5.6","45.2","2016-2017"
"669","Jimmy Butler","CHI","27","6","6","100%","7.7","17.0","45.1","48.0","77.5%","6.7","13.2","50.6","22.5%","1.0","3.8","26.1","2016-2017"
"670","Gordon Hayward","UTA","27","11","11","100%","7.5","16.6","45.6","53.3","62.6%","5.0","10.4","48.2","37.4%","2.5","6.2","41.2","2016-2017"
"671","Kawhi Leonard","SAS","26","12","12","100%","8.8","16.3","54.1","60.5","72.4%","6.8","11.8","57.0","27.6%","2.1","4.5","46.3","2016-2017"
"672","Blake Griffin","LAC","28","3","3","100%","8.3","15.7","53.2","57.4","87.2%","7.0","13.7","51.2","12.8%","1.3","2.0","66.7","2016-2017"
"673","Paul Millsap","ATL","32","6","6","100%","8.3","15.2","54.9","56.6","81.3%","7.8","12.3","63.5","18.7%","0.5","2.8","17.6","2016-2017"
"674","LaMarcus Aldridge","SAS","31","16","16","100%","6.9","14.7","46.8","47.2","94.0%","6.8","13.8","48.9","6.0%","0.1","0.9","14.3","2016-2017"
"675","Serge Ibaka","TOR","27","10","10","100%","6.0","12.8","46.9","51.6","70.3%","4.8","9.0","53.3","29.7%","1.2","3.8","31.6","2016-2017"
"676","Zach Randolph","MEM","35","6","6","100%","5.8","12.7","46.1","46.7","90.8%","5.7","11.5","49.3","9.2%","0.2","1.2","14.3","2016-2017"
"677","Khris Middleton","MIL","25","6","6","100%","5.2","12.5","41.3","46.0","74.7%","4.0","9.3","42.9","25.3%","1.2","3.2","36.8","2016-2017"
"678","Joe Johnson","UTA","36","11","11","100%","5.3","11.7","45.0","50.8","65.1%","3.9","7.6","51.2","34.9%","1.4","4.1","33.3","2016-2017"
"679","Kevin Love","CLE","28","18","18","100%","5.3","11.4","46.1","58.3","46.1%","2.5","5.3","47.4","53.9%","2.8","6.2","45.0","2016-2017"
"680","Markieff Morris","WAS","27","13","13","100%","4.5","10.8","41.8","46.8","73.0%","3.5","7.9","43.7","27.0%","1.1","2.9","36.8","2016-2017"
"681","Jae Crowder","BOS","26","18","18","100%","4.8","10.3","46.8","55.1","53.2%","3.1","5.5","56.6","46.8%","1.7","4.8","35.6","2016-2017"
"682","Andre Roberson","OKC","25","5","5","100%","4.8","9.0","53.3","61.1","62.2%","3.4","5.6","60.7","37.8%","1.4","3.4","41.2","2016-2017"
"683","Draymond Green","GSW","27","17","17","100%","4.2","8.8","48.3","59.1","47.7%","2.4","4.2","56.3","52.3%","1.9","4.6","41.0","2016-2017"
"684","Thaddeus Young","IND","29","4","4","100%","5.3","8.8","60.0","61.4","88.6%","5.0","7.8","64.5","11.4%","0.3","1.0","25.0","2016-2017"
"685","Jonathon Simmons","SAS","27","15","14","100%","4.1","8.5","48.4","53.5","71.9%","3.3","6.1","53.3","28.1%","0.9","2.4","36.1","2016-2017"
"686","Kent Bazemore","ATL","27","6","6","100%","3.5","8.5","41.2","48.0","52.9%","2.3","4.5","51.9","47.1%","1.2","4.0","29.2","2016-2017"
"687","Al-Farouq Aminu","POR","26","4","4","100%","4.3","8.3","51.5","62.1","48.5%","2.5","4.0","62.5","51.5%","1.8","4.3","41.2","2016-2017"
"688","Otto Porter Jr.","WAS","24","13","13","100%","4.5","8.2","54.2","59.3","63.6%","3.6","5.2","69.1","36.4%","0.8","3.0","28.2","2016-2017"
"689","Ryan Anderson","HOU","29","11","11","100%","3.3","8.2","40.0","49.4","33.3%","1.7","2.7","63.3","66.7%","1.6","5.5","28.3","2016-2017"
"690","Nikola Mirotic","CHI","26","6","6","100%","2.8","8.2","34.7","44.9","28.6%","1.2","2.3","50.0","71.4%","1.7","5.8","28.6","2016-2017"
"691","Taurean Prince","ATL","23","6","6","100%","4.8","8.0","60.4","64.6","70.8%","4.2","5.7","73.5","29.2%","0.7","2.3","28.6","2016-2017"
"692","Trevor Ariza","HOU","32","11","11","100%","3.7","8.0","46.6","59.7","30.7%","1.6","2.5","66.7","69.3%","2.1","5.5","37.7","2016-2017"
"693","Evan Turner","POR","28","4","4","100%","3.0","7.3","41.4","50.0","48.3%","1.8","3.5","50.0","51.7%","1.3","3.8","33.3","2016-2017"
"694","Tony Snell","MIL","25","6","6","100%","3.7","7.2","51.2","69.8","27.9%","1.0","2.0","50.0","72.1%","2.7","5.2","51.6","2016-2017"
"695","Maurice Harkless","POR","24","4","4","100%","2.5","7.0","35.7","39.3","57.1%","2.0","4.0","50.0","42.9%","0.5","3.0","16.7","2016-2017"
"696","Danny Green","SAS","30","16","16","100%","2.8","6.8","41.3","53.2","31.2%","1.2","2.1","55.9","68.8%","1.6","4.7","34.7","2016-2017"
"697","Vince Carter","MEM","40","6","6","100%","3.3","6.7","50.0","60.0","50.0%","2.0","3.3","60.0","50.0%","1.3","3.3","40.0","2016-2017"
"698","Kelly Olynyk","BOS","26","18","18","100%","3.6","6.6","53.8","60.1","60.5%","2.7","4.0","68.1","39.5%","0.8","2.6","31.9","2016-2017"
"699","Taj Gibson","OKC","32","5","5","100%","4.2","6.4","65.6","65.6","100%","4.2","6.4","65.6","0.0%","0.0","0.0","-","2016-2017"
"700","Andre Iguodala","GSW","33","16","16","100%","2.9","6.3","45.5","49.5","58.4%","2.4","3.7","64.4","41.6%","0.5","2.6","19.0","2016-2017"
"701","James Ennis III","MEM","26","6","6","100%","2.7","6.2","43.2","51.4","48.6%","1.7","3.0","55.6","51.4%","1.0","3.2","31.6","2016-2017"
"702","CJ Miles","IND","30","4","4","100%","2.8","6.0","45.8","56.3","33.3%","1.5","2.0","75.0","66.7%","1.3","4.0","31.3","2016-2017"
"703","JaMychal Green","MEM","27","6","6","100%","2.8","5.8","48.6","58.6","54.3%","1.7","3.2","52.6","45.7%","1.2","2.7","43.8","2016-2017"
"704","Kevin Seraphin","IND","27","4","4","100%","3.0","5.8","52.2","52.2","100%","3.0","5.8","52.2","0.0%","0.0","0.0","-","2016-2017"
"705","Luc Mbah a Moute","LAC","30","7","7","100%","2.4","5.6","43.6","50.0","59.0%","1.7","3.3","52.2","41.0%","0.7","2.3","31.3","2016-2017"
"706","Paul Zipser","CHI","23","6","6","100%","2.5","5.5","45.5","54.5","51.5%","1.5","2.8","52.9","48.5%","1.0","2.7","37.5","2016-2017"
"707","Jerami Grant","OKC","23","5","5","100%","3.8","5.4","70.4","74.1","81.5%","3.4","4.4","77.3","18.5%","0.4","1.0","40.0","2016-2017"
"708","Joe Ingles","UTA","29","11","11","100%","2.3","5.4","42.4","55.1","32.2%","0.9","1.7","52.6","67.8%","1.4","3.6","37.5","2016-2017"
"709","Bobby Portis","CHI","22","6","6","100%","2.8","5.3","53.1","62.5","59.4%","1.8","3.2","57.9","40.6%","1.0","2.2","46.2","2016-2017"
"710","Gerald Green","BOS","31","13","11","100%","2.6","5.3","49.3","64.5","34.8%","1.0","1.9","54.2","65.2%","1.6","3.5","46.7","2016-2017"
"711","Derrick Favors","UTA","25","11","11","100%","3.3","5.2","63.2","63.2","100%","3.3","5.2","63.2","0.0%","0.0","0.0","-","2016-2017"
"712","Nene","HOU","34","9","9","100%","4.0","5.0","80.0","80.0","97.8%","4.0","4.9","81.8","2.2%","0.0","0.1","0.0","2016-2017"
"713","Marreese Speights","LAC","29","7","7","100%","2.3","5.0","45.7","55.7","42.9%","1.3","2.1","60.0","57.1%","1.0","2.9","35.0","2016-2017"
"714","Channing Frye","CLE","34","12","12","100%","2.6","4.8","53.4","70.7","32.8%","0.9","1.6","57.9","67.2%","1.7","3.3","51.3","2016-2017"
"715","Thon Maker","MIL","20","6","6","100%","2.0","4.7","42.9","46.4","64.3%","1.7","3.0","55.6","35.7%","0.3","1.7","20.0","2016-2017"
"716","Kelly Oubre Jr.","WAS","21","12","9","100%","2.2","4.5","48.1","58.3","44.4%","1.3","2.0","62.5","55.6%","0.9","2.5","36.7","2016-2017"
"717","P.J. Tucker","TOR","32","10","9","100%","1.8","4.5","40.0","50.0","42.2%","0.9","1.9","47.4","57.8%","0.9","2.6","34.6","2016-2017"
"718","Alex Abrines","OKC","23","5","5","100%","1.6","4.4","36.4","47.7","22.7%","0.6","1.0","60.0","77.3%","1.0","3.4","29.4","2016-2017"
"719","Kyle Anderson","SAS","23","15","11","100%","2.4","4.1","58.1","60.5","83.9%","2.2","3.5","63.5","16.1%","0.2","0.7","30.0","2016-2017"
"720","Jaylen Brown","BOS","20","17","15","100%","2.0","4.1","48.6","52.1","67.1%","1.7","2.8","61.7","32.9%","0.3","1.4","21.7","2016-2017"
"721","Boris Diaw","UTA","35","11","11","100%","2.2","4.1","53.3","60.0","68.9%","1.6","2.8","58.1","31.1%","0.6","1.3","42.9","2016-2017"
"722","Noah Vonleh","POR","21","4","4","100%","2.0","4.0","50.0","50.0","100%","2.0","4.0","50.0","0.0%","0.0","0.0","-","2016-2017"
"723","Michael Beasley","MIL","28","4","3","100%","1.8","4.0","43.8","53.1","68.8%","1.0","2.8","36.4","31.3%","0.8","1.3","60.0","2016-2017"
"724","Trey Lyles","UTA","21","2","2","100%","1.5","3.5","42.9","50.0","57.1%","1.0","2.0","50.0","42.9%","0.5","1.5","33.3","2016-2017"
"725","Doug McDermott","OKC","25","5","5","100%","1.8","3.4","52.9","73.5","29.4%","0.4","1.0","40.0","70.6%","1.4","2.4","58.3","2016-2017"
"726","DeMarre Carroll","TOR","30","10","10","100%","1.5","3.4","44.1","54.4","35.3%","0.8","1.2","66.7","64.7%","0.7","2.2","31.8","2016-2017"
"727","Patrick Patterson","TOR","28","10","9","100%","1.0","3.4","29.4","41.2","26.5%","0.2","0.9","22.2","73.5%","0.8","2.5","32.0","2016-2017"
"728","David West","GSW","36","17","17","100%","2.0","3.4","59.6","60.5","96.5%","1.9","3.2","60.0","3.5%","0.1","0.1","50.0","2016-2017"
"729","Joffrey Lauvergne","CHI","25","3","3","100%","1.3","3.3","40.0","40.0","80.0%","1.3","2.7","50.0","20.0%","0.0","0.7","0.0","2016-2017"
"730","Ersan Ilyasova","ATL","30","6","5","100%","1.3","3.3","40.0","42.5","75.0%","1.2","2.5","46.7","25.0%","0.2","0.8","20.0","2016-2017"
"731","Sam Dekker","HOU","23","4","4","100%","0.8","3.0","25.0","37.5","50.0%","0.0","1.5","0.0","50.0%","0.8","1.5","50.0","2016-2017"
"732","Pat Connaughton","POR","24","3","3","100%","0.7","3.0","22.2","22.2","33.3%","0.7","1.0","66.7","66.7%","0.0","2.0","0.0","2016-2017"
"733","Jason Smith","WAS","31","13","12","100%","1.5","2.8","52.8","56.9","72.2%","1.2","2.0","61.5","27.8%","0.2","0.8","30.0","2016-2017"
"734","Mike Muscala","ATL","25","6","5","100%","0.8","2.7","31.3","31.3","75.0%","0.8","2.0","41.7","25.0%","0.0","0.7","0.0","2016-2017"
"735","Jonas Jerebko","BOS","30","12","10","100%","1.3","2.6","48.4","56.5","51.6%","0.8","1.3","62.5","48.4%","0.4","1.3","33.3","2016-2017"
"736","Richard Jefferson","CLE","37","14","10","100%","1.1","2.6","44.4","51.4","50.0%","0.8","1.3","61.1","50.0%","0.4","1.3","27.8","2016-2017"
"737","Paul Pierce","LAC","39","7","7","100%","1.1","2.6","44.4","55.6","44.4%","0.6","1.1","50.0","55.6%","0.6","1.4","40.0","2016-2017"
"738","David Lee","SAS","34","15","13","100%","1.7","2.5","65.8","65.8","97.4%","1.7","2.5","67.6","2.6%","0.0","0.1","0.0","2016-2017"
"739","Cristiano Felicio","CHI","24","6","5","100%","1.5","2.5","60.0","60.0","100%","1.5","2.5","60.0","0.0%","0.0","0.0","-","2016-2017"
"740","Jordan Mickey","BOS","22","2","2","100%","1.0","2.5","40.0","40.0","100%","1.0","2.5","40.0","0.0%","0.0","0.0","-","2016-2017"
"741","Davis Bertans","SAS","24","13","11","100%","0.9","2.1","44.4","59.3","25.9%","0.3","0.5","57.1","74.1%","0.6","1.5","40.0","2016-2017"
"742","Glenn Robinson III","IND","23","3","3","100%","2.0","2.0","100","116.7","66.7%","1.3","1.3","100","33.3%","0.7","0.7","100","2016-2017"
"743","Brandan Wright","MEM","29","2","1","100%","1.0","2.0","50.0","50.0","100%","1.0","2.0","50.0","0.0%","0.0","0.0","-","2016-2017"
"744","Brandon Bass","LAC","32","1","1","100%","1.0","2.0","50.0","50.0","100%","1.0","2.0","50.0","0.0%","0.0","0.0","-","2016-2017"
"745","Mirza Teletovic","MIL","31","3","3","100%","0.3","2.0","16.7","25.0","33.3%","0.0","0.7","0.0","66.7%","0.3","1.3","25.0","2016-2017"
"746","Derrick Williams","CLE","26","8","7","100%","1.0","1.9","53.3","63.3","66.7%","0.6","1.3","50.0","33.3%","0.4","0.6","60.0","2016-2017"
"747","Amir Johnson","BOS","30","14","10","100%","1.1","1.9","57.7","59.6","88.5%","1.0","1.6","60.9","11.5%","0.1","0.2","33.3","2016-2017"
"748","Troy Williams","HOU","22","5","5","100%","0.0","1.8","0.0","0.0","44.4%","0.0","0.8","0.0","55.6%","0.0","1.0","0.0","2016-2017"
"749","Deyonta Davis","MEM","20","3","2","100%","1.0","1.7","60.0","60.0","100%","1.0","1.7","60.0","0.0%","0.0","0.0","-","2016-2017"
"750","Meyers Leonard","POR","25","3","2","100%","0.3","1.7","20.0","20.0","20.0%","0.3","0.3","100","80.0%","0.0","1.3","0.0","2016-2017"
"751","Jake Layman","POR","23","2","2","100%","1.0","1.5","66.7","83.3","66.7%","0.5","1.0","50.0","33.3%","0.5","0.5","100","2016-2017"
"752","Joel Bolomboy","UTA","23","2","2","100%","1.0","1.5","66.7","66.7","100%","1.0","1.5","66.7","0.0%","0.0","0.0","-","2016-2017"
"753","James Young","BOS","21","10","7","100%","0.5","1.5","33.3","50.0","6.7%","0.0","0.1","0.0","93.3%","0.5","1.4","35.7","2016-2017"
"754","John Henson","MIL","26","2","2","100%","0.5","1.5","33.3","33.3","100%","0.5","1.5","33.3","0.0%","0.0","0.0","-","2016-2017"
"755","Domantas Sabonis","OKC","21","2","2","100%","0.0","1.5","0.0","0.0","66.7%","0.0","1.0","0.0","33.3%","0.0","0.5","0.0","2016-2017"
"756","Spencer Hawes","MIL","29","3","2","100%","0.7","1.3","50.0","62.5","50.0%","0.3","0.7","50.0","50.0%","0.3","0.7","50.0","2016-2017"
"757","James Michael McAdoo","GSW","24","13","6","100%","0.7","1.3","52.9","58.8","70.6%","0.5","0.9","58.3","29.4%","0.1","0.4","40.0","2016-2017"
"758","Matt Barnes","GSW","37","12","8","100%","0.3","1.3","26.7","30.0","46.7%","0.3","0.6","42.9","53.3%","0.1","0.7","12.5","2016-2017"
"759","Mike Dunleavy","ATL","36","6","4","100%","0.5","1.2","42.9","57.1","28.6%","0.2","0.3","50.0","71.4%","0.3","0.8","40.0","2016-2017"
"760","Sheldon Mac","WAS","24","7","4","100%","0.7","1.1","62.5","75.0","37.5%","0.4","0.4","100","62.5%","0.3","0.7","40.0","2016-2017"
"761","Kyle Wiltjer","HOU","24","1","1","100%","1.0","1.0","100","150.0","0.0%","0.0","0.0","-","100%","1.0","1.0","100","2016-2017"
"762","Jarell Martin","MEM","23","3","2","100%","0.3","1.0","33.3","33.3","100%","0.3","1.0","33.3","0.0%","0.0","0.0","-","2016-2017"
"763","Pascal Siakam","TOR","23","2","1","100%","0.0","1.0","0.0","0.0","100%","0.0","1.0","0.0","0.0%","0.0","0.0","-","2016-2017"
"764","Dahntay Jones","CLE","36","10","5","100%","0.5","0.9","55.6","61.1","77.8%","0.4","0.7","57.1","22.2%","0.1","0.2","50.0","2016-2017"
"765","James Jones","CLE","36","8","3","100%","0.1","0.6","20.0","20.0","40.0%","0.1","0.3","50.0","60.0%","0.0","0.4","0.0","2016-2017"
"766","Tomas Satoransky","WAS","25","10","2","100%","0.3","0.6","50.0","50.0","100%","0.3","0.6","50.0","0.0%","0.0","0.0","-","2016-2017"
"767","Montrezl Harrell","HOU","23","5","2","100%","0.2","0.4","50.0","50.0","100%","0.2","0.4","50.0","0.0%","0.0","0.0","-","2016-2017"
"768","Daniel Ochefu","WAS","23","4","1","100%","0.0","0.3","0.0","0.0","100%","0.0","0.3","0.0","0.0%","0.0","0.0","-","2016-2017"
"769","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2015-2016"
"770","Kevin Durant","OKC","27","18","18","100%","9.7","21.9","44.3","48.2","72.7%","8.0","15.9","50.2","27.3%","1.7","6.0","28.7","2015-2016"
"771","LeBron James","CLE","31","21","21","100%","10.4","19.1","54.8","58.8","76.5%","8.9","14.6","61.1","23.5%","1.5","4.5","34.0","2015-2016"
"772","LaMarcus Aldridge","SAS","30","10","10","100%","8.8","16.6","53.0","53.6","98.8%","8.6","16.4","52.4","1.2%","0.2","0.2","100","2015-2016"
"773","Paul George","IND","26","7","7","100%","8.0","16.1","49.6","57.5","61.9%","5.4","10.0","54.3","38.1%","2.6","6.1","41.9","2015-2016"
"774","Dirk Nowitzki","DAL","38","5","5","100%","8.2","16.0","51.3","53.8","86.3%","7.4","13.8","53.6","13.8%","0.8","2.2","36.4","2015-2016"
"775","Kawhi Leonard","SAS","25","10","10","100%","8.3","15.5","53.5","59.0","74.8%","6.6","11.6","56.9","25.2%","1.7","3.9","43.6","2015-2016"
"776","Evan Turner","BOS","27","6","6","100%","5.2","12.8","40.3","42.2","83.1%","4.7","10.7","43.8","16.9%","0.5","2.2","23.1","2015-2016"
"777","Paul Millsap","ATL","31","10","10","100%","5.9","12.8","46.1","49.2","74.2%","5.1","9.5","53.7","25.8%","0.8","3.3","24.2","2015-2016"
"778","Blake Griffin","LAC","27","4","4","100%","5.0","12.0","41.7","42.7","95.8%","4.8","11.5","41.3","4.2%","0.3","0.5","50.0","2015-2016"
"779","Zach Randolph","MEM","34","4","4","100%","5.8","11.8","48.9","48.9","100%","5.8","11.8","48.9","0.0%","0.0","0.0","-","2015-2016"
"780","Marcus Morris Sr.","DET","26","4","4","100%","5.5","11.8","46.8","54.3","61.7%","3.8","7.3","51.7","38.3%","1.8","4.5","38.9","2015-2016"
"781","Jae Crowder","BOS","25","6","6","100%","3.3","11.5","29.0","36.2","40.6%","1.7","4.7","35.7","59.4%","1.7","6.8","24.4","2015-2016"
"782","Al Horford","ATL","30","10","10","100%","5.4","11.3","47.8","52.7","75.2%","4.3","8.5","50.6","24.8%","1.1","2.8","39.3","2015-2016"
"783","Kevin Love","CLE","27","20","20","100%","4.6","11.2","41.1","51.3","50.9%","2.3","5.7","40.4","49.1%","2.3","5.5","41.8","2015-2016"
"784","Wesley Matthews","DAL","29","5","5","100%","4.0","11.2","35.7","44.6","37.5%","2.0","4.2","47.6","62.5%","2.0","7.0","28.6","2015-2016"
"785","Al-Farouq Aminu","POR","25","11","11","100%","5.1","11.2","45.5","56.9","43.1%","2.5","4.8","52.8","56.9%","2.5","6.4","40.0","2015-2016"
"786","Draymond Green","GSW","26","23","23","100%","5.2","11.2","46.3","53.7","59.9%","3.5","6.7","52.6","40.1%","1.6","4.5","36.9","2015-2016"
"787","Kent Bazemore","ATL","26","10","10","100%","4.4","11.1","39.6","46.8","45.0%","2.8","5.0","56.0","55.0%","1.6","6.1","26.2","2015-2016"
"788","Joe Johnson","MIA","35","14","14","100%","4.9","11.1","43.9","48.1","70.3%","3.9","7.8","50.5","29.7%","0.9","3.3","28.3","2015-2016"
"789","Tobias Harris","DET","23","4","4","100%","5.3","10.5","50.0","54.8","71.4%","4.3","7.5","56.7","28.6%","1.0","3.0","33.3","2015-2016"
"790","Matt Barnes","MEM","36","4","4","100%","4.0","10.5","38.1","41.7","61.9%","3.3","6.5","50.0","38.1%","0.8","4.0","18.8","2015-2016"
"791","Lance Stephenson","MEM","25","4","4","100%","5.8","10.3","56.1","58.5","87.8%","5.3","9.0","58.3","12.2%","0.5","1.3","40.0","2015-2016"
"792","Trevor Ariza","HOU","31","5","5","100%","2.6","10.0","26.0","30.0","44.0%","1.8","4.4","40.9","56.0%","0.8","5.6","14.3","2015-2016"
"793","Myles Turner","IND","20","7","7","100%","4.7","9.9","47.8","47.8","97.1%","4.7","9.6","49.3","2.9%","0.0","0.3","0.0","2015-2016"
"794","Luol Deng","MIA","31","14","14","100%","4.6","9.5","48.9","57.9","57.1%","2.9","5.4","53.9","42.9%","1.7","4.1","42.1","2015-2016"
"795","Maurice Harkless","POR","23","11","11","100%","4.3","9.4","45.6","52.9","57.3%","2.9","5.4","54.2","42.7%","1.4","4.0","34.1","2015-2016"
"796","Serge Ibaka","OKC","26","18","18","100%","4.7","9.0","52.5","62.0","58.0%","3.0","5.2","57.4","42.0%","1.7","3.8","45.6","2015-2016"
"797","Nicolas Batum","CHA","27","5","5","100%","3.4","8.8","38.6","45.5","50.0%","2.2","4.4","50.0","50.0%","1.2","4.4","27.3","2015-2016"
"798","JR Smith","CLE","30","21","21","100%","3.9","8.6","45.6","63.6","18.3%","0.8","1.6","51.5","81.7%","3.1","7.0","44.2","2015-2016"
"799","Michael Beasley","HOU","27","5","5","100%","4.4","8.4","52.4","54.8","85.7%","4.0","7.2","55.6","14.3%","0.4","1.2","33.3","2015-2016"
"800","Harrison Barnes","GSW","24","24","24","100%","3.4","8.4","40.8","47.3","62.2%","2.3","5.2","44.8","37.8%","1.1","3.2","34.2","2015-2016"
"801","DeMarre Carroll","TOR","29","20","20","100%","3.1","7.7","40.5","49.0","48.4%","1.8","3.7","48.6","51.6%","1.3","4.0","32.9","2015-2016"
"802","Tony Allen","MEM","34","4","4","100%","2.5","7.5","33.3","35.0","76.7%","2.3","5.8","39.1","23.3%","0.3","1.8","14.3","2015-2016"
