GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000012,9,1628365,Markelle Fultz,1610612753,Orlando Magic,1,11,30,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,6,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,31,203095,Evan Fournier,1610612753,Orlando Magic,1,9,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,94,236,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,40,203932,Aaron Gordon,1610612753,Orlando Magic,1,8,55,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,5,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,48,203095,Evan Fournier,1610612753,Orlando Magic,1,8,10,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,19,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,64,203932,Aaron Gordon,1610612753,Orlando Magic,1,6,34,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-4,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,75,203932,Aaron Gordon,1610612753,Orlando Magic,1,5,36,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,84,203095,Evan Fournier,1610612753,Orlando Magic,1,5,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,9,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,117,1628365,Markelle Fultz,1610612753,Orlando Magic,1,4,57,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,72,70,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,115,203082,Terrence Ross,1610612753,Orlando Magic,1,3,10,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,55,135,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,130,203487,Michael Carter-Williams,1610612753,Orlando Magic,1,2,24,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,20,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,143,203082,Terrence Ross,1610612753,Orlando Magic,1,0,48,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-147,194,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,152,203082,Terrence Ross,1610612753,Orlando Magic,1,0,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-18,142,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,162,203082,Terrence Ross,1610612753,Orlando Magic,2,11,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,112,116,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,173,1630175,Cole Anthony,1610612753,Orlando Magic,2,10,34,Made Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,3,24,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,202,203487,Michael Carter-Williams,1610612753,Orlando Magic,2,8,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-16,140,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,205,203082,Terrence Ross,1610612753,Orlando Magic,2,8,26,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,107,247,1,1,20201223,ORL,MIA
Shot Chart Detail,0022000012,215,1630175,Cole Anthony,1610612753,Orlando Magic,2,7,45,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-97,108,1,1,20201223,ORL,MIA
