GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000015,9,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,11,29,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,46,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,14,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,10,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,-3,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,19,1629027,Trae Young,1610612737,Atlanta Hawks,1,10,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,26,199,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,25,1629027,Trae Young,1610612737,Atlanta Hawks,1,9,52,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,81,238,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,29,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,9,34,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,33,1629027,Trae Young,1610612737,Atlanta Hawks,1,9,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,1,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,37,1628381,John Collins,1610612737,Atlanta Hawks,1,8,56,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,45,1628381,John Collins,1610612737,Atlanta Hawks,1,8,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,95,-6,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,65,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,7,9,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,74,201568,Danilo Gallinari,1610612737,Atlanta Hawks,1,6,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,94,201568,Danilo Gallinari,1610612737,Atlanta Hawks,1,5,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-115,226,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,132,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,3,43,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-2,158,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,138,1629027,Trae Young,1610612737,Atlanta Hawks,1,3,5,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,140,215,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,153,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,1,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,2,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,156,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,1,29,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,160,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,1,1,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,4,46,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,193,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,10,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,138,206,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,211,1628381,John Collins,1610612737,Atlanta Hawks,2,9,34,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,215,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,9,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,190,160,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,227,203992,Bogdan Bogdanovic,1610612737,Atlanta Hawks,2,8,34,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,-15,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,232,203992,Bogdan Bogdanovic,1610612737,Atlanta Hawks,2,8,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,171,183,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,236,203992,Bogdan Bogdanovic,1610612737,Atlanta Hawks,2,7,51,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,0,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,266,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,5,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,279,1628381,John Collins,1610612737,Atlanta Hawks,2,4,49,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,290,1628381,John Collins,1610612737,Atlanta Hawks,2,4,15,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,299,1629027,Trae Young,1610612737,Atlanta Hawks,2,3,39,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,221,58,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,305,1629027,Trae Young,1610612737,Atlanta Hawks,2,3,21,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-39,258,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,316,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,2,26,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,6,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,336,1629027,Trae Young,1610612737,Atlanta Hawks,2,0,55,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,118,222,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,371,1629027,Trae Young,1610612737,Atlanta Hawks,3,11,12,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,8,46,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,390,1628381,John Collins,1610612737,Atlanta Hawks,3,10,20,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,-2,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,414,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,9,2,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-15,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,422,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,8,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-1,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,458,203992,Bogdan Bogdanovic,1610612737,Atlanta Hawks,3,5,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,5,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,477,1629164,Brandon Goodwin,1610612737,Atlanta Hawks,3,5,11,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,114,221,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,480,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,4,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,208,130,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,484,1628981,Bruno Fernando,1610612737,Atlanta Hawks,3,4,22,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,4,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,563,201568,Danilo Gallinari,1610612737,Atlanta Hawks,4,11,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,7,150,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,573,1629027,Trae Young,1610612737,Atlanta Hawks,4,9,57,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,589,1629027,Trae Young,1610612737,Atlanta Hawks,4,9,2,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-59,22,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,603,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,7,56,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,637,203992,Bogdan Bogdanovic,1610612737,Atlanta Hawks,4,5,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-1,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000015,703,1628981,Bruno Fernando,1610612737,Atlanta Hawks,4,0,37,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,62,127,1,1,20201223,CHI,ATL
Shot Chart Detail,0022000021,27,1629027,Trae Young,1610612737,Atlanta Hawks,1,9,54,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,20,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,52,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,8,15,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,17,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,55,1629027,Trae Young,1610612737,Atlanta Hawks,1,7,48,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,13,74,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,61,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,7,9,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-44,175,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,98,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,4,27,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,10,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,108,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,3,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,31,101,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,112,203524,Solomon Hill,1610612737,Atlanta Hawks,1,3,27,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,1,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,126,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,2,22,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,58,109,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,129,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,1,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,114,256,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,133,203524,Solomon Hill,1610612737,Atlanta Hawks,1,1,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,23,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,145,1630233,Nathan Knight,1610612737,Atlanta Hawks,1,0,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-68,254,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,173,1630233,Nathan Knight,1610612737,Atlanta Hawks,2,11,20,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,2,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,177,203992,Bogdan Bogdanovic,1610612737,Atlanta Hawks,2,11,1,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-3,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,191,1629027,Trae Young,1610612737,Atlanta Hawks,2,10,28,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,6,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,198,1630233,Nathan Knight,1610612737,Atlanta Hawks,2,9,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,22,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,237,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,2,7,53,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,13,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,280,1629027,Trae Young,1610612737,Atlanta Hawks,2,5,33,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,35,70,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,291,1628381,John Collins,1610612737,Atlanta Hawks,2,4,51,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,303,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,3,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,85,246,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,334,1628381,John Collins,1610612737,Atlanta Hawks,2,1,34,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,6,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,337,1629164,Brandon Goodwin,1610612737,Atlanta Hawks,2,0,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,32,263,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,371,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,10,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,210,130,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,380,1629027,Trae Young,1610612737,Atlanta Hawks,3,9,27,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-70,242,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,389,1629027,Trae Young,1610612737,Atlanta Hawks,3,8,31,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,14,78,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,397,1629027,Trae Young,1610612737,Atlanta Hawks,3,7,51,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,9,84,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,410,1628381,John Collins,1610612737,Atlanta Hawks,3,6,55,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,3,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,427,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,5,56,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-3,20,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,449,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,5,7,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,9,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,456,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,4,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-79,241,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,469,1630233,Nathan Knight,1610612737,Atlanta Hawks,3,3,34,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,9,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,554,1628381,John Collins,1610612737,Atlanta Hawks,4,11,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-112,169,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,557,203992,Bogdan Bogdanovic,1610612737,Atlanta Hawks,4,11,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,186,174,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,576,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,4,9,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,61,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,615,1629027,Trae Young,1610612737,Atlanta Hawks,4,7,29,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-195,26,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,627,1628989,Kevin Huerter,1610612737,Atlanta Hawks,4,6,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,230,71,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,656,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,4,4,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-98,227,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,701,1629027,Trae Young,1610612737,Atlanta Hawks,4,1,28,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,15,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000021,706,1629027,Trae Young,1610612737,Atlanta Hawks,4,0,56,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1,20201226,MEM,ATL
Shot Chart Detail,0022000041,19,1629027,Trae Young,1610612737,Atlanta Hawks,1,10,0,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,18,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,22,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,9,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-13,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,33,1629027,Trae Young,1610612737,Atlanta Hawks,1,8,39,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,4,221,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,37,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,8,7,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-17,110,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,41,1629027,Trae Young,1610612737,Atlanta Hawks,1,7,35,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,165,181,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,44,203991,Clint Capela,1610612737,Atlanta Hawks,1,7,8,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,1,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,60,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,6,11,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-22,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,70,1629027,Trae Young,1610612737,Atlanta Hawks,1,5,26,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,13,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,73,203992,Bogdan Bogdanovic,1610612737,Atlanta Hawks,1,4,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-185,170,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,96,203524,Solomon Hill,1610612737,Atlanta Hawks,1,3,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-24,256,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,117,203524,Solomon Hill,1610612737,Atlanta Hawks,1,1,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,41,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,127,1628381,John Collins,1610612737,Atlanta Hawks,1,0,58,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-7,63,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,135,200765,Rajon Rondo,1610612737,Atlanta Hawks,1,0,16,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,21,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,143,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,11,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-43,256,1,1,20201228,ATL,DET
Shot Chart Detail,0022000041,153,1628381,John Collins,1610612737,Atlanta Hawks,2,10,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-22,256,1,1,20201228,ATL,DET
